pref	genome	rate	prog	S_alg	k	d	qType	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.r_0.01.S_global.k_15.d_na.t_index	escherichia_coli.k32	0.01	31_FMSIv02	global	15	na	index	0.98	0.01	0.96	99%	91424	9256	3264	0.991307
escherichia_coli.k32.r_0.01.S_local.k_15.d_1.t_index	escherichia_coli.k32	0.01	31_FMSIv02	local	15	1	index	3.37	0.11	3.25	99%	270836	28120	8528	3.385934
escherichia_coli.k32.r_0.01.S_local.k_15.d_2.t_index	escherichia_coli.k32	0.01	31_FMSIv02	local	15	2	index	3.43	0.18	3.23	99%	260024	27000	8232	3.439415
escherichia_coli.k32.r_0.01.S_local.k_15.d_3.t_index	escherichia_coli.k32	0.01	31_FMSIv02	local	15	3	index	2.90	0.06	2.83	99%	233016	24136	7456	2.909215
escherichia_coli.k32.r_0.01.S_local.k_15.d_4.t_index	escherichia_coli.k32	0.01	31_FMSIv02	local	15	4	index	2.14	0.05	2.08	99%	183864	18976	6048	2.149944
escherichia_coli.k32.r_0.01.S_local.k_15.d_5.t_index	escherichia_coli.k32	0.01	31_FMSIv02	local	15	5	index	1.62	0.05	1.56	99%	135404	13888	4608	1.634458
escherichia_coli.k32.r_0.01.S_global.k_17.d_na.t_index	escherichia_coli.k32	0.01	31_FMSIv02	global	17	na	index	1.85	0.05	1.79	99%	153484	15776	5328	1.861637
escherichia_coli.k32.r_0.01.S_local.k_17.d_1.t_index	escherichia_coli.k32	0.01	31_FMSIv02	local	17	1	index	5.53	0.21	5.31	99%	371108	40808	12216	5.541316
escherichia_coli.k32.r_0.01.S_local.k_17.d_2.t_index	escherichia_coli.k32	0.01	31_FMSIv02	local	17	2	index	5.61	0.28	5.31	99%	366212	40264	12080	5.621099
escherichia_coli.k32.r_0.01.S_local.k_17.d_3.t_index	escherichia_coli.k32	0.01	31_FMSIv02	local	17	3	index	5.75	0.21	5.52	99%	357988	39352	11824	5.763812
escherichia_coli.k32.r_0.01.S_local.k_17.d_4.t_index	escherichia_coli.k32	0.01	31_FMSIv02	local	17	4	index	4.47	0.12	4.34	99%	340004	37352	11296	4.481522
escherichia_coli.k32.r_0.01.S_local.k_17.d_5.t_index	escherichia_coli.k32	0.01	31_FMSIv02	local	17	5	index	5.20	0.33	4.85	99%	301580	33088	10136	5.210522
escherichia_coli.k32.r_0.01.S_global.k_19.d_na.t_index	escherichia_coli.k32	0.01	31_FMSIv02	global	19	na	index	2.75	0.18	2.56	99%	207452	21448	7000	2.755625
escherichia_coli.k32.r_0.01.S_local.k_19.d_1.t_index	escherichia_coli.k32	0.01	31_FMSIv02	local	19	1	index	6.18	0.10	6.06	99%	441332	48608	14416	6.190151
escherichia_coli.k32.r_0.01.S_local.k_19.d_2.t_index	escherichia_coli.k32	0.01	31_FMSIv02	local	19	2	index	6.59	0.34	6.22	99%	437100	48144	14296	6.600148
escherichia_coli.k32.r_0.01.S_local.k_19.d_3.t_index	escherichia_coli.k32	0.01	31_FMSIv02	local	19	3	index	7.07	0.34	6.71	99%	432500	47632	14152	7.081959
escherichia_coli.k32.r_0.01.S_local.k_19.d_4.t_index	escherichia_coli.k32	0.01	31_FMSIv02	local	19	4	index	7.52	0.48	7.02	99%	426748	46992	13984	7.529501
escherichia_coli.k32.r_0.01.S_local.k_19.d_5.t_index	escherichia_coli.k32	0.01	31_FMSIv02	local	19	5	index	6.24	0.31	5.91	99%	417180	45936	13696	6.25098
