pref	genome	rate	prog	S_alg	k	d	qType	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.r_0.01.S_global.k_15.d_na.t_0	escherichia_coli.k32	0.01	32_FMSIv02_query	global	15	na	0	2.21	0.00	2.20	99%	5352	3264	0	2.218305
escherichia_coli.k32.r_0.01.S_global.k_15.d_na.t_Neg	escherichia_coli.k32	0.01	32_FMSIv02_query	global	15	na	Neg	2.20	0.01	2.18	99%	5248	0	0	2.207141
escherichia_coli.k32.r_0.01.S_global.k_15.d_na.t_Pos	escherichia_coli.k32	0.01	32_FMSIv02_query	global	15	na	Pos	1.95	0.00	1.94	99%	5248	0	0	1.960158
escherichia_coli.k32.r_0.01.S_local.k_15.d_1.t_0	escherichia_coli.k32	0.01	32_FMSIv02_query	local	15	1	0	2.60	0.03	2.56	99%	8136	8520	0	2.613274
escherichia_coli.k32.r_0.01.S_local.k_15.d_1.t_Neg	escherichia_coli.k32	0.01	32_FMSIv02_query	local	15	1	Neg	2.48	0.02	2.45	99%	8136	0	0	2.493151
escherichia_coli.k32.r_0.01.S_local.k_15.d_1.t_Pos	escherichia_coli.k32	0.01	32_FMSIv02_query	local	15	1	Pos	1.65	0.01	1.63	99%	7884	22072	0	1.661625
escherichia_coli.k32.r_0.01.S_local.k_15.d_2.t_0	escherichia_coli.k32	0.01	32_FMSIv02_query	local	15	2	0	2.26	0.00	2.25	99%	7884	8232	0	2.268128
escherichia_coli.k32.r_0.01.S_local.k_15.d_2.t_Neg	escherichia_coli.k32	0.01	32_FMSIv02_query	local	15	2	Neg	2.32	0.02	2.29	99%	7884	0	0	2.333878
escherichia_coli.k32.r_0.01.S_local.k_15.d_2.t_Pos	escherichia_coli.k32	0.01	32_FMSIv02_query	local	15	2	Pos	1.53	0.00	1.53	99%	7884	0	0	1.542414
escherichia_coli.k32.r_0.01.S_local.k_15.d_3.t_0	escherichia_coli.k32	0.01	32_FMSIv02_query	local	15	3	0	2.42	0.01	2.40	99%	7568	7456	0	2.434094
escherichia_coli.k32.r_0.01.S_local.k_15.d_3.t_Neg	escherichia_coli.k32	0.01	32_FMSIv02_query	local	15	3	Neg	2.40	0.02	2.36	99%	7568	0	0	2.408337
escherichia_coli.k32.r_0.01.S_local.k_15.d_3.t_Pos	escherichia_coli.k32	0.01	32_FMSIv02_query	local	15	3	Pos	1.72	0.01	1.71	99%	7568	0	0	1.734101
escherichia_coli.k32.r_0.01.S_local.k_15.d_4.t_0	escherichia_coli.k32	0.01	32_FMSIv02_query	local	15	4	0	2.62	0.01	2.60	99%	6568	6048	0	2.630896
escherichia_coli.k32.r_0.01.S_local.k_15.d_4.t_Neg	escherichia_coli.k32	0.01	32_FMSIv02_query	local	15	4	Neg	2.25	0.00	2.24	99%	6568	0	0	2.256509
escherichia_coli.k32.r_0.01.S_local.k_15.d_4.t_Pos	escherichia_coli.k32	0.01	32_FMSIv02_query	local	15	4	Pos	1.75	0.00	1.74	99%	6568	0	0	1.761083
escherichia_coli.k32.r_0.01.S_local.k_15.d_5.t_0	escherichia_coli.k32	0.01	32_FMSIv02_query	local	15	5	0	2.47	0.01	2.45	99%	6040	0	0	2.482726
escherichia_coli.k32.r_0.01.S_local.k_15.d_5.t_Neg	escherichia_coli.k32	0.01	32_FMSIv02_query	local	15	5	Neg	2.26	0.01	2.25	99%	6040	0	0	2.272794
escherichia_coli.k32.r_0.01.S_local.k_15.d_5.t_Pos	escherichia_coli.k32	0.01	32_FMSIv02_query	local	15	5	Pos	2.33	0.00	2.32	99%	6040	0	0	2.339838
escherichia_coli.k32.r_0.01.S_global.k_17.d_na.t_0	escherichia_coli.k32	0.01	32_FMSIv02_query	global	17	na	0	2.42	0.01	2.40	99%	6304	0	0	2.427904
escherichia_coli.k32.r_0.01.S_global.k_17.d_na.t_Neg	escherichia_coli.k32	0.01	32_FMSIv02_query	global	17	na	Neg	2.22	0.01	2.20	99%	6440	0	0	2.23343
escherichia_coli.k32.r_0.01.S_global.k_17.d_na.t_Pos	escherichia_coli.k32	0.01	32_FMSIv02_query	global	17	na	Pos	2.35	0.01	2.33	99%	6304	0	0	2.357132
escherichia_coli.k32.r_0.01.S_local.k_17.d_1.t_0	escherichia_coli.k32	0.01	32_FMSIv02_query	local	17	1	0	2.45	0.01	2.43	99%	10080	12216	0	2.458795
escherichia_coli.k32.r_0.01.S_local.k_17.d_1.t_Neg	escherichia_coli.k32	0.01	32_FMSIv02_query	local	17	1	Neg	2.70	0.01	2.68	99%	10080	0	0	2.707073
escherichia_coli.k32.r_0.01.S_local.k_17.d_1.t_Pos	escherichia_coli.k32	0.01	32_FMSIv02_query	local	17	1	Pos	2.22	0.03	2.18	99%	10080	15224	0	2.235171
escherichia_coli.k32.r_0.01.S_local.k_17.d_2.t_0	escherichia_coli.k32	0.01	32_FMSIv02_query	local	17	2	0	2.63	0.02	2.60	99%	10008	12080	0	2.637288
escherichia_coli.k32.r_0.01.S_local.k_17.d_2.t_Neg	escherichia_coli.k32	0.01	32_FMSIv02_query	local	17	2	Neg	2.44	0.01	2.42	99%	10008	0	0	2.451827
escherichia_coli.k32.r_0.01.S_local.k_17.d_2.t_Pos	escherichia_coli.k32	0.01	32_FMSIv02_query	local	17	2	Pos	1.77	0.00	1.76	99%	10008	0	0	1.776283
escherichia_coli.k32.r_0.01.S_local.k_17.d_3.t_0	escherichia_coli.k32	0.01	32_FMSIv02_query	local	17	3	0	2.67	0.02	2.64	99%	9876	11824	0	2.679853
escherichia_coli.k32.r_0.01.S_local.k_17.d_3.t_Neg	escherichia_coli.k32	0.01	32_FMSIv02_query	local	17	3	Neg	2.55	0.00	2.54	99%	9876	0	0	2.562277
escherichia_coli.k32.r_0.01.S_local.k_17.d_3.t_Pos	escherichia_coli.k32	0.01	32_FMSIv02_query	local	17	3	Pos	2.03	0.00	2.02	99%	9876	0	0	2.038023
escherichia_coli.k32.r_0.01.S_local.k_17.d_4.t_0	escherichia_coli.k32	0.01	32_FMSIv02_query	local	17	4	0	2.34	0.01	2.32	99%	9400	11296	0	2.353443
escherichia_coli.k32.r_0.01.S_local.k_17.d_4.t_Neg	escherichia_coli.k32	0.01	32_FMSIv02_query	local	17	4	Neg	2.47	0.00	2.47	99%	9400	0	0	2.483068
escherichia_coli.k32.r_0.01.S_local.k_17.d_4.t_Pos	escherichia_coli.k32	0.01	32_FMSIv02_query	local	17	4	Pos	1.69	0.00	1.68	99%	9400	0	0	1.697635
