pref	genome	rate	prog	S_alg	k	d	qType	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.r_0.01.S_prophasm.k_15.d_na.t_index	escherichia_coli.k32	0.01	15_bwa	prophasm	15	na	index	6.19	0.20	5.84	97%	150184	0	190112	6.201718
escherichia_coli.k32.r_0.01.S_prophasm.k_17.d_na.t_index	escherichia_coli.k32	0.01	15_bwa	prophasm	17	na	index	10.04	0.22	9.67	98%	216804	0	258896	10.045035
escherichia_coli.k32.r_0.01.S_prophasm.k_19.d_na.t_index	escherichia_coli.k32	0.01	15_bwa	prophasm	19	na	index	12.53	0.28	12.10	98%	278504	0	290712	12.534772
escherichia_coli.k32.r_0.01.S_prophasm.k_21.d_na.t_index	escherichia_coli.k32	0.01	15_bwa	prophasm	21	na	index	16.82	0.26	16.38	98%	155728	8	318288	16.829859
escherichia_coli.k32.r_0.01.S_prophasm.k_23.d_na.t_index	escherichia_coli.k32	0.01	15_bwa	prophasm	23	na	index	19.15	0.28	18.72	99%	162984	0	345920	19.160382
escherichia_coli.k32.r_0.01.S_prophasm.k_31.d_na.t_index	escherichia_coli.k32	0.01	15_bwa	prophasm	31	na	index	31.23	0.37	30.66	99%	191352	16	462656	31.236534
escherichia_coli.k32.r_0.1.S_prophasm.k_15.d_na.t_index	escherichia_coli.k32	0.1	15_bwa	prophasm	15	na	index	101.61	1.57	99.36	99%	898868	0	1695040	101.623022
escherichia_coli.k32.r_0.1.S_prophasm.k_17.d_na.t_index	escherichia_coli.k32	0.1	15_bwa	prophasm	17	na	index	163.77	2.35	159.87	99%	1219432	0	2418000	163.778534
escherichia_coli.k32.r_0.1.S_prophasm.k_19.d_na.t_index	escherichia_coli.k32	0.1	15_bwa	prophasm	19	na	index	199.08	2.56	195.26	99%	1319224	0	2730104	199.087257
escherichia_coli.k32.r_0.1.S_prophasm.k_21.d_na.t_index	escherichia_coli.k32	0.1	15_bwa	prophasm	21	na	index	230.27	2.75	226.03	99%	1388692	0	2986216	230.279717
escherichia_coli.k32.r_0.1.S_prophasm.k_23.d_na.t_index	escherichia_coli.k32	0.1	15_bwa	prophasm	23	na	index	266.59	2.73	262.50	99%	1453592	8	3240744	266.597686
escherichia_coli.k32.r_0.1.S_prophasm.k_31.d_na.t_index	escherichia_coli.k32	0.1	15_bwa	prophasm	31	na	index	415.96	3.77	410.25	99%	1705988	264	4317464	415.969566
escherichia_coli.k32.r_1.0.S_prophasm.k_15.d_na.t_index	escherichia_coli.k32	1.0	15_bwa	prophasm	15	na	index	177.75	1.94	174.47	99%	911408	128	2133136	177.755415
escherichia_coli.k32.r_1.0.S_prophasm.k_17.d_na.t_index	escherichia_coli.k32	1.0	15_bwa	prophasm	17	na	index	154.98	1.20	152.98	99%	493820	0	1502144	154.990263
escherichia_coli.k32.r_1.0.S_prophasm.k_19.d_na.t_index	escherichia_coli.k32	1.0	15_bwa	prophasm	19	na	index	139.05	1.00	137.49	99%	354308	0	1290288	139.060243
escherichia_coli.k32.r_1.0.S_prophasm.k_21.d_na.t_index	escherichia_coli.k32	1.0	15_bwa	prophasm	21	na	index	136.87	1.10	134.85	99%	317384	8	1254936	136.879583
escherichia_coli.k32.r_1.0.S_prophasm.k_23.d_na.t_index	escherichia_coli.k32	1.0	15_bwa	prophasm	23	na	index	145.98	1.01	144.37	99%	332492	0	1333456	145.989608
escherichia_coli.k32.r_1.0.S_prophasm.k_31.d_na.t_index	escherichia_coli.k32	1.0	15_bwa	prophasm	31	na	index	174.77	1.27	172.92	99%	334468	0	1489280	174.783084
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_15.d_na.t_index	sars-cov-2_pangenome_k32	0.01	15_bwa	prophasm	15	na	index	0.22	0.01	0.20	96%	10764	0	9016	0.229602
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_17.d_na.t_index	sars-cov-2_pangenome_k32	0.01	15_bwa	prophasm	17	na	index	0.28	0.01	0.25	96%	13136	0	11224	0.284233
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_19.d_na.t_index	sars-cov-2_pangenome_k32	0.01	15_bwa	prophasm	19	na	index	0.35	0.02	0.32	97%	15468	0	13488	0.360682
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_21.d_na.t_index	sars-cov-2_pangenome_k32	0.01	15_bwa	prophasm	21	na	index	0.43	0.03	0.38	97%	18332	0	15984	0.436214
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_23.d_na.t_index	sars-cov-2_pangenome_k32	0.01	15_bwa	prophasm	23	na	index	0.52	0.03	0.47	98%	21464	0	18632	0.52836
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_31.d_na.t_index	sars-cov-2_pangenome_k32	0.01	15_bwa	prophasm	31	na	index	1.00	0.06	0.93	98%	42812	0	31160	1.013324
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_15.d_na.t_index	sars-cov-2_pangenome_k32	0.1	15_bwa	prophasm	15	na	index	2.26	0.08	2.13	98%	78984	0	83864	2.266188
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_17.d_na.t_index	sars-cov-2_pangenome_k32	0.1	15_bwa	prophasm	17	na	index	3.34	0.10	3.18	98%	101124	8	104704	3.346379
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_19.d_na.t_index	sars-cov-2_pangenome_k32	0.1	15_bwa	prophasm	19	na	index	4.54	0.12	4.36	98%	124104	0	126048	4.551777
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_21.d_na.t_index	sars-cov-2_pangenome_k32	0.1	15_bwa	prophasm	21	na	index	6.17	0.22	5.87	98%	149240	0	149080	6.175718
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_23.d_na.t_index	sars-cov-2_pangenome_k32	0.1	15_bwa	prophasm	23	na	index	6.90	0.18	6.62	98%	176656	0	173672	6.913206
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_31.d_na.t_index	sars-cov-2_pangenome_k32	0.1	15_bwa	prophasm	31	na	index	17.56	0.24	17.16	99%	129540	0	289376	17.56561
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_15.d_na.t_index	sars-cov-2_pangenome_k32	0.2	15_bwa	prophasm	15	na	index	4.71	0.18	4.41	97%	120024	0	149096	4.718646
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_17.d_na.t_index	sars-cov-2_pangenome_k32	0.2	15_bwa	prophasm	17	na	index	7.42	0.17	7.15	98%	160176	0	187432	7.429383
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_19.d_na.t_index	sars-cov-2_pangenome_k32	0.2	15_bwa	prophasm	19	na	index	9.55	0.23	9.21	98%	218832	0	225768	9.561562
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_21.d_na.t_index	sars-cov-2_pangenome_k32	0.2	15_bwa	prophasm	21	na	index	12.46	0.23	12.10	98%	263612	8	267128	12.470928
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_23.d_na.t_index	sars-cov-2_pangenome_k32	0.2	15_bwa	prophasm	23	na	index	17.46	0.35	16.97	99%	146096	8	311264	17.468611
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_31.d_na.t_index	sars-cov-2_pangenome_k32	0.2	15_bwa	prophasm	31	na	index	36.21	0.42	35.52	99%	211900	8	518312	36.219026
sars-cov-2_pangenome_k32.r_0.3.S_prophasm.k_15.d_na.t_index	sars-cov-2_pangenome_k32	0.3	15_bwa	prophasm	15	na	index	7.23	0.23	6.91	98%	158040	8	196904	7.234707
sars-cov-2_pangenome_k32.r_0.3.S_prophasm.k_17.d_na.t_index	sars-cov-2_pangenome_k32	0.3	15_bwa	prophasm	17	na	index	9.50	0.22	9.15	98%	211248	8	248296	9.510599
sars-cov-2_pangenome_k32.r_0.3.S_prophasm.k_19.d_na.t_index	sars-cov-2_pangenome_k32	0.3	15_bwa	prophasm	19	na	index	14.30	0.24	13.91	99%	150320	8	299320	14.31039
sars-cov-2_pangenome_k32.r_0.3.S_prophasm.k_21.d_na.t_index	sars-cov-2_pangenome_k32	0.3	15_bwa	prophasm	21	na	index	18.97	0.33	18.38	98%	172088	8	353680	18.982349
sars-cov-2_pangenome_k32.r_0.3.S_prophasm.k_23.d_na.t_index	sars-cov-2_pangenome_k32	0.3	15_bwa	prophasm	23	na	index	23.72	0.34	23.19	99%	191972	0	411704	23.727364
sars-cov-2_pangenome_k32.r_0.3.S_prophasm.k_31.d_na.t_index	sars-cov-2_pangenome_k32	0.3	15_bwa	prophasm	31	na	index	53.54	0.61	52.66	99%	278140	24	683920	53.55302
sars-cov-2_pangenome_k32.r_0.4.S_prophasm.k_15.d_na.t_index	sars-cov-2_pangenome_k32	0.4	15_bwa	prophasm	15	na	index	8.40	0.21	8.08	98%	183424	0	227984	8.406688
sars-cov-2_pangenome_k32.r_0.4.S_prophasm.k_17.d_na.t_index	sars-cov-2_pangenome_k32	0.4	15_bwa	prophasm	17	na	index	13.29	0.30	12.83	98%	244964	16	287272	13.30243
sars-cov-2_pangenome_k32.r_0.4.S_prophasm.k_19.d_na.t_index	sars-cov-2_pangenome_k32	0.4	15_bwa	prophasm	19	na	index	17.00	0.29	16.56	99%	172684	0	345976	17.008663
sars-cov-2_pangenome_k32.r_0.4.S_prophasm.k_21.d_na.t_index	sars-cov-2_pangenome_k32	0.4	15_bwa	prophasm	21	na	index	22.17	0.41	21.59	99%	196200	0	408208	22.181055
sars-cov-2_pangenome_k32.r_0.4.S_prophasm.k_23.d_na.t_index	sars-cov-2_pangenome_k32	0.4	15_bwa	prophasm	23	na	index	28.10	0.43	27.42	99%	218216	8	474816	28.104408
sars-cov-2_pangenome_k32.r_0.4.S_prophasm.k_31.d_na.t_index	sars-cov-2_pangenome_k32	0.4	15_bwa	prophasm	31	na	index	62.36	0.68	61.35	99%	317148	8	787312	62.371324
sars-cov-2_pangenome_k32.r_0.5.S_prophasm.k_15.d_na.t_index	sars-cov-2_pangenome_k32	0.5	15_bwa	prophasm	15	na	index	8.95	0.30	8.40	97%	196936	16	242632	8.961279
sars-cov-2_pangenome_k32.r_0.5.S_prophasm.k_17.d_na.t_index	sars-cov-2_pangenome_k32	0.5	15_bwa	prophasm	17	na	index	13.76	0.26	13.36	99%	158632	8	304824	13.771082
sars-cov-2_pangenome_k32.r_0.5.S_prophasm.k_19.d_na.t_index	sars-cov-2_pangenome_k32	0.5	15_bwa	prophasm	19	na	index	18.75	0.38	18.10	98%	182524	16	366288	18.757666
