pref	genome	rate	prog	S_alg	k	d	qType	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.r_0.01.S_prophasm.k_15.d_na.t_0	escherichia_coli.k32	0.01	16_bwa_query	prophasm	15	na	0	3.17	0.07	3.09	99%	120576	0	0	3.178443
escherichia_coli.k32.r_0.01.S_prophasm.k_15.d_na.t_Neg	escherichia_coli.k32	0.01	16_bwa_query	prophasm	15	na	Neg	3.17	0.06	3.10	99%	120576	0	0	3.183077
escherichia_coli.k32.r_0.01.S_prophasm.k_15.d_na.t_Pos	escherichia_coli.k32	0.01	16_bwa_query	prophasm	15	na	Pos	5.14	0.06	5.07	99%	120576	0	0	5.145919
escherichia_coli.k32.r_0.01.S_prophasm.k_17.d_na.t_0	escherichia_coli.k32	0.01	16_bwa_query	prophasm	17	na	0	4.62	0.07	4.54	99%	157476	0	0	4.626085
escherichia_coli.k32.r_0.01.S_prophasm.k_17.d_na.t_Neg	escherichia_coli.k32	0.01	16_bwa_query	prophasm	17	na	Neg	4.31	0.07	4.24	99%	157476	0	0	4.322727
escherichia_coli.k32.r_0.01.S_prophasm.k_17.d_na.t_Pos	escherichia_coli.k32	0.01	16_bwa_query	prophasm	17	na	Pos	6.30	0.04	6.25	99%	157476	0	0	6.308955
escherichia_coli.k32.r_0.01.S_prophasm.k_19.d_na.t_0	escherichia_coli.k32	0.01	16_bwa_query	prophasm	19	na	0	5.83	0.05	5.77	99%	171548	0	0	5.839956
escherichia_coli.k32.r_0.01.S_prophasm.k_19.d_na.t_Neg	escherichia_coli.k32	0.01	16_bwa_query	prophasm	19	na	Neg	5.34	0.06	5.27	99%	171548	0	0	5.350967
escherichia_coli.k32.r_0.01.S_prophasm.k_19.d_na.t_Pos	escherichia_coli.k32	0.01	16_bwa_query	prophasm	19	na	Pos	6.83	0.09	6.73	99%	171548	0	0	6.840933
escherichia_coli.k32.r_0.01.S_prophasm.k_21.d_na.t_0	escherichia_coli.k32	0.01	16_bwa_query	prophasm	21	na	0	7.46	0.16	7.29	99%	182784	0	0	7.467966
escherichia_coli.k32.r_0.01.S_prophasm.k_21.d_na.t_Neg	escherichia_coli.k32	0.01	16_bwa_query	prophasm	21	na	Neg	6.39	0.05	6.33	99%	182784	0	0	6.40431
escherichia_coli.k32.r_0.01.S_prophasm.k_21.d_na.t_Pos	escherichia_coli.k32	0.01	16_bwa_query	prophasm	21	na	Pos	7.30	0.05	7.23	99%	182784	0	0	7.312141
escherichia_coli.k32.r_0.01.S_prophasm.k_23.d_na.t_0	escherichia_coli.k32	0.01	16_bwa_query	prophasm	23	na	0	7.89	0.08	7.79	99%	193728	0	0	7.898013
escherichia_coli.k32.r_0.01.S_prophasm.k_23.d_na.t_Neg	escherichia_coli.k32	0.01	16_bwa_query	prophasm	23	na	Neg	7.88	0.09	7.78	99%	193728	0	0	7.888246
escherichia_coli.k32.r_0.01.S_prophasm.k_23.d_na.t_Pos	escherichia_coli.k32	0.01	16_bwa_query	prophasm	23	na	Pos	11.76	0.09	11.67	99%	193728	0	0	11.774549
