pref	genome	rate	prog	S_alg	k	d	qType	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.r_0.01.S_global.k_15.d_na.t_superstring	escherichia_coli.k32	0.01	02_camel	global	15	na	superstring	3.79	0.02	3.64	96%	49532	0	9256	3.801868
escherichia_coli.k32.r_0.01.S_local.k_15.d_1.t_superstring	escherichia_coli.k32	0.01	02_camel	local	15	1	superstring	2.61	1.17	1.32	95%	21096	0	28120	2.619047
escherichia_coli.k32.r_0.01.S_local.k_15.d_2.t_superstring	escherichia_coli.k32	0.01	02_camel	local	15	2	superstring	3.81	1.15	2.54	96%	21096	0	27000	3.813882
escherichia_coli.k32.r_0.01.S_local.k_15.d_3.t_superstring	escherichia_coli.k32	0.01	02_camel	local	15	3	superstring	8.03	1.05	6.89	98%	21096	0	24136	8.043226
escherichia_coli.k32.r_0.01.S_local.k_15.d_4.t_superstring	escherichia_coli.k32	0.01	02_camel	local	15	4	superstring	19.96	0.88	18.97	99%	21096	0	18976	19.969609
escherichia_coli.k32.r_0.01.S_local.k_15.d_5.t_superstring	escherichia_coli.k32	0.01	02_camel	local	15	5	superstring	46.91	0.61	46.17	99%	21096	0	13896	46.922029
escherichia_coli.k32.r_0.01.S_global.k_17.d_na.t_superstring	escherichia_coli.k32	0.01	02_camel	global	17	na	superstring	7.30	0.03	7.19	99%	60716	0	15776	7.308147
escherichia_coli.k32.r_0.01.S_local.k_17.d_1.t_superstring	escherichia_coli.k32	0.01	02_camel	local	17	1	superstring	3.58	1.54	1.98	98%	21092	0	40808	3.590615
escherichia_coli.k32.r_0.01.S_local.k_17.d_2.t_superstring	escherichia_coli.k32	0.01	02_camel	local	17	2	superstring	5.79	1.58	4.14	98%	21092	0	40264	5.80132
escherichia_coli.k32.r_0.01.S_local.k_17.d_3.t_superstring	escherichia_coli.k32	0.01	02_camel	local	17	3	superstring	14.21	1.58	12.54	99%	21092	0	39352	14.219176
escherichia_coli.k32.r_0.01.S_local.k_17.d_4.t_superstring	escherichia_coli.k32	0.01	02_camel	local	17	4	superstring	45.79	1.93	43.74	99%	21092	0	37360	45.795543
escherichia_coli.k32.r_0.01.S_local.k_17.d_5.t_superstring	escherichia_coli.k32	0.01	02_camel	local	17	5	superstring	151.68	2.05	149.45	99%	21092	0	33128	151.691706
escherichia_coli.k32.r_0.01.S_global.k_19.d_na.t_superstring	escherichia_coli.k32	0.01	02_camel	global	19	na	superstring	10.00	0.04	9.87	99%	64164	0	21448	10.005412
escherichia_coli.k32.r_0.01.S_local.k_19.d_1.t_superstring	escherichia_coli.k32	0.01	02_camel	local	19	1	superstring	4.01	1.71	2.21	97%	21096	0	48608	4.014057
escherichia_coli.k32.r_0.01.S_local.k_19.d_2.t_superstring	escherichia_coli.k32	0.01	02_camel	local	19	2	superstring	6.42	1.68	4.65	98%	21096	0	48144	6.427236
escherichia_coli.k32.r_0.01.S_local.k_19.d_3.t_superstring	escherichia_coli.k32	0.01	02_camel	local	19	3	superstring	16.24	1.97	14.19	99%	21096	0	47640	16.252874
escherichia_coli.k32.r_0.01.S_local.k_19.d_4.t_superstring	escherichia_coli.k32	0.01	02_camel	local	19	4	superstring	54.40	2.53	51.74	99%	21096	0	47016	54.404532
escherichia_coli.k32.r_0.01.S_local.k_19.d_5.t_superstring	escherichia_coli.k32	0.01	02_camel	local	19	5	superstring	197.41	2.82	194.34	99%	21096	0	46008	197.422519
escherichia_coli.k32.r_0.01.S_global.k_21.d_na.t_superstring	escherichia_coli.k32	0.01	02_camel	global	21	na	superstring	13.12	0.06	12.86	98%	66548	0	27168	13.129755
escherichia_coli.k32.r_0.01.S_local.k_21.d_1.t_superstring	escherichia_coli.k32	0.01	02_camel	local	21	1	superstring	4.39	1.69	2.48	95%	21096	0	56016	4.395909
escherichia_coli.k32.r_0.01.S_local.k_21.d_2.t_superstring	escherichia_coli.k32	0.01	02_camel	local	21	2	superstring	7.11	1.69	5.19	96%	21096	0	55480	7.114458
escherichia_coli.k32.r_0.01.S_local.k_21.d_3.t_superstring	escherichia_coli.k32	0.01	02_camel	local	21	3	superstring	17.62	1.96	15.44	98%	21096	0	54960	17.625972
escherichia_coli.k32.r_0.01.S_local.k_21.d_4.t_superstring	escherichia_coli.k32	0.01	02_camel	local	21	4	superstring	58.89	2.50	56.13	99%	21096	0	54456	58.894608
escherichia_coli.k32.r_0.01.S_local.k_21.d_5.t_superstring	escherichia_coli.k32	0.01	02_camel	local	21	5	superstring	223.12	2.98	219.77	99%	21096	0	54000	223.127485
escherichia_coli.k32.r_0.01.S_global.k_23.d_na.t_superstring	escherichia_coli.k32	0.01	02_camel	global	23	na	superstring	15.99	0.03	15.79	99%	68736	0	33064	15.999569
escherichia_coli.k32.r_0.01.S_local.k_23.d_1.t_superstring	escherichia_coli.k32	0.01	02_camel	local	23	1	superstring	4.56	1.70	2.73	97%	21096	0	63656	4.57112
escherichia_coli.k32.r_0.01.S_local.k_23.d_2.t_superstring	escherichia_coli.k32	0.01	02_camel	local	23	2	superstring	7.49	1.96	5.40	98%	21096	0	63048	7.495824
escherichia_coli.k32.r_0.01.S_local.k_23.d_3.t_superstring	escherichia_coli.k32	0.01	02_camel	local	23	3	superstring	18.98	2.10	16.73	99%	21096	0	62464	18.992694
escherichia_coli.k32.r_0.01.S_local.k_23.d_4.t_superstring	escherichia_coli.k32	0.01	02_camel	local	23	4	superstring	65.36	2.48	62.64	99%	21096	0	61896	65.372467
escherichia_coli.k32.r_0.01.S_local.k_23.d_5.t_superstring	escherichia_coli.k32	0.01	02_camel	local	23	5	superstring	234.71	3.21	231.16	99%	21096	0	61384	234.715179
escherichia_coli.k32.r_0.01.S_global.k_31.d_na.t_superstring	escherichia_coli.k32	0.01	02_camel	global	31	na	superstring	19.38	0.08	18.97	98%	81076	0	58256	19.392481
escherichia_coli.k32.r_0.01.S_local.k_31.d_1.t_superstring	escherichia_coli.k32	0.01	02_camel	local	31	1	superstring	5.43	2.03	3.08	94%	38004	0	97296	5.440028
escherichia_coli.k32.r_0.01.S_local.k_31.d_2.t_superstring	escherichia_coli.k32	0.01	02_camel	local	31	2	superstring	7.22	2.08	4.84	95%	38004	0	96360	7.2267
escherichia_coli.k32.r_0.01.S_local.k_31.d_3.t_superstring	escherichia_coli.k32	0.01	02_camel	local	31	3	superstring	13.39	2.15	10.98	98%	38004	0	95456	13.398497
escherichia_coli.k32.r_0.01.S_local.k_31.d_4.t_superstring	escherichia_coli.k32	0.01	02_camel	local	31	4	superstring	37.32	2.29	34.72	99%	38004	0	94560	37.333041
escherichia_coli.k32.r_0.01.S_local.k_31.d_5.t_superstring	escherichia_coli.k32	0.01	02_camel	local	31	5	superstring	137.55	2.95	134.23	99%	38004	0	93712	137.562966
escherichia_coli.k32.r_0.1.S_global.k_15.d_na.t_superstring	escherichia_coli.k32	0.1	02_camel	global	15	na	superstring	40.54	0.21	40.11	99%	451636	0	58296	40.54727
escherichia_coli.k32.r_0.1.S_local.k_15.d_1.t_superstring	escherichia_coli.k32	0.1	02_camel	local	15	1	superstring	27.68	10.53	16.98	99%	141084	0	243520	27.688156
escherichia_coli.k32.r_0.1.S_local.k_15.d_2.t_superstring	escherichia_coli.k32	0.1	02_camel	local	15	2	superstring	44.10	7.80	36.06	99%	141084	0	183216	44.110116
escherichia_coli.k32.r_0.1.S_local.k_15.d_3.t_superstring	escherichia_coli.k32	0.1	02_camel	local	15	3	superstring	80.34	4.80	75.32	99%	141084	0	122688	80.349991
escherichia_coli.k32.r_0.1.S_local.k_15.d_4.t_superstring	escherichia_coli.k32	0.1	02_camel	local	15	4	superstring	143.44	2.32	140.75	99%	141084	0	86384	143.451322
escherichia_coli.k32.r_0.1.S_local.k_15.d_5.t_superstring	escherichia_coli.k32	0.1	02_camel	local	15	5	superstring	229.02	1.36	227.24	99%	151276	0	72232	229.025298
