pref	genome	rate	S_alg	k	d	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
spneumo_pangenome.r_0.001.S_global.k_9.d_na	spneumo_pangenome	0.001	global	9	na	0.00	0.00	0.00	80%	4092	0	8	0.0088
spneumo_pangenome.r_0.001.S_global.k_11.d_na	spneumo_pangenome	0.001	global	11	na	0.01	0.00	0.01	93%	4164	0	24	0.018888
spneumo_pangenome.r_0.001.S_global.k_13.d_na	spneumo_pangenome	0.001	global	13	na	0.03	0.00	0.03	97%	4256	0	72	0.041446
spneumo_pangenome.r_0.001.S_global.k_15.d_na	spneumo_pangenome	0.001	global	15	na	0.04	0.00	0.03	95%	4268	0	112	0.045866
spneumo_pangenome.r_0.001.S_global.k_17.d_na	spneumo_pangenome	0.001	global	17	na	0.05	0.00	0.05	98%	4272	0	144	0.058772
spneumo_pangenome.r_0.001.S_global.k_19.d_na	spneumo_pangenome	0.001	global	19	na	0.06	0.00	0.06	100%	4276	0	184	0.069965
spneumo_pangenome.r_0.001.S_global.k_21.d_na	spneumo_pangenome	0.001	global	21	na	0.08	0.00	0.07	97%	4276	0	224	0.08892
spneumo_pangenome.r_0.001.S_global.k_23.d_na	spneumo_pangenome	0.001	global	23	na	0.10	0.00	0.09	99%	4284	0	264	0.104264
spneumo_pangenome.r_0.01.S_global.k_9.d_na	spneumo_pangenome	0.01	global	9	na	0.01	0.00	0.00	70%	4152	0	16	0.021122
spneumo_pangenome.r_0.01.S_global.k_11.d_na	spneumo_pangenome	0.01	global	11	na	0.04	0.00	0.04	100%	4460	0	128	0.052219
spneumo_pangenome.r_0.01.S_global.k_13.d_na	spneumo_pangenome	0.01	global	13	na	0.25	0.00	0.24	98%	6168	0	488	0.257805
spneumo_pangenome.r_0.01.S_global.k_15.d_na	spneumo_pangenome	0.01	global	15	na	0.31	0.00	0.31	99%	6820	0	848	0.321596
spneumo_pangenome.r_0.01.S_global.k_17.d_na	spneumo_pangenome	0.01	global	17	na	0.52	0.00	0.51	98%	7128	0	1168	0.524662
spneumo_pangenome.r_0.01.S_global.k_19.d_na	spneumo_pangenome	0.01	global	19	na	0.67	0.00	0.67	98%	7420	0	1488	0.68238
spneumo_pangenome.r_0.01.S_global.k_21.d_na	spneumo_pangenome	0.01	global	21	na	0.73	0.00	0.71	99%	7448	0	1824	0.734735
spneumo_pangenome.r_0.01.S_global.k_23.d_na	spneumo_pangenome	0.01	global	23	na	1.05	0.00	1.04	99%	7740	0	2184	1.05682
spneumo_pangenome.r_0.05.S_global.k_9.d_na	spneumo_pangenome	0.05	global	9	na	0.02	0.00	0.02	95%	4268	0	40	0.026569
spneumo_pangenome.r_0.05.S_global.k_11.d_na	spneumo_pangenome	0.05	global	11	na	0.18	0.00	0.18	97%	7260	0	440	0.192364
spneumo_pangenome.r_0.05.S_global.k_13.d_na	spneumo_pangenome	0.05	global	13	na	0.71	0.01	0.68	97%	15584	0	1800	0.717777
spneumo_pangenome.r_0.05.S_global.k_15.d_na	spneumo_pangenome	0.05	global	15	na	1.66	0.01	1.62	97%	19304	0	3232	1.672253
spneumo_pangenome.r_0.05.S_global.k_17.d_na	spneumo_pangenome	0.05	global	17	na	2.31	0.02	2.25	98%	20572	0	4488	2.318836
spneumo_pangenome.r_0.05.S_global.k_19.d_na	spneumo_pangenome	0.05	global	19	na	3.04	0.01	2.99	98%	21532	0	5688	3.050947
spneumo_pangenome.r_0.05.S_global.k_21.d_na	spneumo_pangenome	0.05	global	21	na	3.16	0.02	3.12	99%	22336	0	6848	3.168406
spneumo_pangenome.r_0.05.S_global.k_23.d_na	spneumo_pangenome	0.05	global	23	na	3.05	0.02	2.99	98%	24096	0	8008	3.063044
spneumo_pangenome.r_0.1.S_global.k_9.d_na	spneumo_pangenome	0.1	global	9	na	0.03	0.00	0.02	93%	4452	0	64	0.035251
spneumo_pangenome.r_0.1.S_global.k_11.d_na	spneumo_pangenome	0.1	global	11	na	0.32	0.01	0.30	96%	10996	0	728	0.327444
spneumo_pangenome.r_0.1.S_global.k_13.d_na	spneumo_pangenome	0.1	global	13	na	1.45	0.01	1.40	96%	27312	0	3048	1.462641
spneumo_pangenome.r_0.1.S_global.k_15.d_na	spneumo_pangenome	0.1	global	15	na	2.93	0.02	2.84	97%	34056	0	5448	2.93573
spneumo_pangenome.r_0.1.S_global.k_17.d_na	spneumo_pangenome	0.1	global	17	na	4.08	0.03	3.98	98%	36300	0	7440	4.086174
spneumo_pangenome.r_0.1.S_global.k_19.d_na	spneumo_pangenome	0.1	global	19	na	4.38	0.03	4.29	98%	37848	0	9176	4.388489
spneumo_pangenome.r_0.1.S_global.k_21.d_na	spneumo_pangenome	0.1	global	21	na	6.01	0.04	5.92	99%	39448	0	10744	6.021498
spneumo_pangenome.r_0.1.S_global.k_23.d_na	spneumo_pangenome	0.1	global	23	na	5.27	0.05	5.13	98%	43044	0	12224	5.275882
spneumo_pangenome.r_0.2.S_global.k_9.d_na	spneumo_pangenome	0.2	global	9	na	0.04	0.00	0.04	97%	5236	0	96	0.048998
spneumo_pangenome.r_0.2.S_global.k_11.d_na	spneumo_pangenome	0.2	global	11	na	0.57	0.01	0.53	95%	18268	0	1200	0.575383
spneumo_pangenome.r_0.2.S_global.k_13.d_na	spneumo_pangenome	0.2	global	13	na	2.40	0.02	2.31	97%	50760	0	4984	2.405378
spneumo_pangenome.r_0.2.S_global.k_15.d_na	spneumo_pangenome	0.2	global	15	na	5.17	0.06	5.00	97%	64324	0	8624	5.182065
spneumo_pangenome.r_0.2.S_global.k_17.d_na	spneumo_pangenome	0.2	global	17	na	5.91	0.07	5.65	96%	68880	0	11184	5.921231
spneumo_pangenome.r_0.2.S_global.k_19.d_na	spneumo_pangenome	0.2	global	19	na	6.98	0.03	6.78	97%	72112	0	13096	6.988762
spneumo_pangenome.r_0.2.S_global.k_21.d_na	spneumo_pangenome	0.2	global	21	na	7.82	0.05	7.61	98%	75156	0	14672	7.829428
spneumo_pangenome.r_0.2.S_global.k_23.d_na	spneumo_pangenome	0.2	global	23	na	8.36	0.09	8.10	98%	82308	0	16040	8.366102
spneumo_pangenome.r_0.3.S_global.k_9.d_na	spneumo_pangenome	0.3	global	9	na	0.07	0.00	0.05	91%	5608	0	128	0.075694
spneumo_pangenome.r_0.3.S_global.k_11.d_na	spneumo_pangenome	0.3	global	11	na	0.83	0.02	0.76	95%	26536	0	1600	0.836272
spneumo_pangenome.r_0.3.S_global.k_13.d_na	spneumo_pangenome	0.3	global	13	na	3.75	0.02	3.60	96%	72168	0	6496	3.758192
spneumo_pangenome.r_0.3.S_global.k_15.d_na	spneumo_pangenome	0.3	global	15	na	6.40	0.07	6.20	98%	96676	0	10752	6.40755
spneumo_pangenome.r_0.3.S_global.k_17.d_na	spneumo_pangenome	0.3	global	17	na	7.28	0.05	7.06	97%	103516	0	13248	7.285364
spneumo_pangenome.r_0.3.S_global.k_19.d_na	spneumo_pangenome	0.3	global	19	na	10.22	0.11	9.89	97%	108368	0	14928	10.230329
spneumo_pangenome.r_0.3.S_global.k_21.d_na	spneumo_pangenome	0.3	global	21	na	10.46	0.08	10.16	98%	112932	0	16288	10.466109
spneumo_pangenome.r_0.3.S_global.k_23.d_na	spneumo_pangenome	0.3	global	23	na	11.43	0.08	11.18	98%	117412	0	17496	11.444157
spneumo_pangenome.r_0.4.S_global.k_9.d_na	spneumo_pangenome	0.4	global	9	na	0.08	0.00	0.06	92%	6260	0	160	0.085737
spneumo_pangenome.r_0.4.S_global.k_11.d_na	spneumo_pangenome	0.4	global	11	na	1.09	0.02	1.02	95%	32692	0	1952	1.101803
spneumo_pangenome.r_0.4.S_global.k_13.d_na	spneumo_pangenome	0.4	global	13	na	4.73	0.07	4.49	96%	97748	0	7736	4.736526
spneumo_pangenome.r_0.4.S_global.k_15.d_na	spneumo_pangenome	0.4	global	15	na	8.59	0.06	8.35	97%	124864	0	12176	8.600503
spneumo_pangenome.r_0.4.S_global.k_17.d_na	spneumo_pangenome	0.4	global	17	na	9.30	0.08	9.00	97%	133984	0	14376	9.311743
spneumo_pangenome.r_0.4.S_global.k_19.d_na	spneumo_pangenome	0.4	global	19	na	11.12	0.10	10.81	98%	140444	0	15816	11.126126
spneumo_pangenome.r_0.4.S_global.k_21.d_na	spneumo_pangenome	0.4	global	21	na	12.74	0.08	12.47	98%	146536	0	17024	12.749121
spneumo_pangenome.r_0.4.S_global.k_23.d_na	spneumo_pangenome	0.4	global	23	na	12.73	0.11	12.41	98%	160816	0	18152	12.743111
spneumo_pangenome.r_0.5.S_global.k_9.d_na	spneumo_pangenome	0.5	global	9	na	0.09	0.00	0.08	93%	6812	0	184	0.099832
spneumo_pangenome.r_0.5.S_global.k_11.d_na	spneumo_pangenome	0.5	global	11	na	1.33	0.04	1.24	95%	40008	0	2272	1.340234
spneumo_pangenome.r_0.5.S_global.k_13.d_na	spneumo_pangenome	0.5	global	13	na	6.80	0.10	6.55	97%	119152	0	8760	6.808386
spneumo_pangenome.r_0.5.S_global.k_15.d_na	spneumo_pangenome	0.5	global	15	na	8.84	0.08	8.56	97%	161372	0	13112	8.85135
spneumo_pangenome.r_0.5.S_global.k_17.d_na	spneumo_pangenome	0.5	global	17	na	10.69	0.08	10.39	97%	172756	0	15008	10.696966
spneumo_pangenome.r_0.5.S_global.k_19.d_na	spneumo_pangenome	0.5	global	19	na	14.02	0.14	13.59	97%	180840	0	16288	14.030115
spneumo_pangenome.r_0.5.S_global.k_21.d_na	spneumo_pangenome	0.5	global	21	na	15.37	0.13	15.07	98%	188460	0	17432	15.375162
spneumo_pangenome.r_0.5.S_global.k_23.d_na	spneumo_pangenome	0.5	global	23	na	15.84	0.10	15.52	98%	195900	0	18536	15.845345
spneumo_pangenome.r_0.6.S_global.k_9.d_na	spneumo_pangenome	0.6	global	9	na	0.10	0.00	0.09	93%	7440	0	208	0.110309
spneumo_pangenome.r_0.6.S_global.k_11.d_na	spneumo_pangenome	0.6	global	11	na	1.52	0.03	1.43	96%	47308	0	2568	1.530649
spneumo_pangenome.r_0.6.S_global.k_13.d_na	spneumo_pangenome	0.6	global	13	na	6.66	0.08	6.41	97%	140556	0	9624	6.667314
spneumo_pangenome.r_0.6.S_global.k_15.d_na	spneumo_pangenome	0.6	global	15	na	10.76	0.13	10.44	98%	189544	0	13720	10.769761
spneumo_pangenome.r_0.6.S_global.k_17.d_na	spneumo_pangenome	0.6	global	17	na	12.88	0.12	12.50	98%	203224	0	15376	12.88887
spneumo_pangenome.r_0.6.S_global.k_19.d_na	spneumo_pangenome	0.6	global	19	na	13.42	0.12	13.01	97%	212924	0	16584	13.424881
spneumo_pangenome.r_0.6.S_global.k_21.d_na	spneumo_pangenome	0.6	global	21	na	15.58	0.20	15.13	98%	222064	0	17688	15.585305
spneumo_pangenome.r_0.6.S_global.k_23.d_na	spneumo_pangenome	0.6	global	23	na	17.98	0.16	17.58	98%	231000	0	18792	17.988683
spneumo_pangenome.r_0.7.S_global.k_9.d_na	spneumo_pangenome	0.7	global	9	na	0.10	0.00	0.09	94%	8072	0	232	0.110021
spneumo_pangenome.r_0.7.S_global.k_11.d_na	spneumo_pangenome	0.7	global	11	na	1.69	0.02	1.59	96%	54444	0	2832	1.696324
spneumo_pangenome.r_0.7.S_global.k_13.d_na	spneumo_pangenome	0.7	global	13	na	7.94	0.10	7.68	97%	170280	0	10320	7.95035
spneumo_pangenome.r_0.7.S_global.k_15.d_na	spneumo_pangenome	0.7	global	15	na	12.15	0.17	11.69	97%	217732	0	14120	12.154091
spneumo_pangenome.r_0.7.S_global.k_17.d_na	spneumo_pangenome	0.7	global	17	na	13.95	0.12	13.53	97%	233676	0	15616	13.958204
