pref	genome	rate	prog	S_alg	k	d	qType	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.r_0.01.S_none.k_15.d_na.t_index	escherichia_coli.k32	0.01	21_cbl	none	15	na	index	0.88	0.06	0.81	99%	52316	0	14568	0.894055
escherichia_coli.k32.r_0.01.S_none.k_17.d_na.t_index	escherichia_coli.k32	0.01	21_cbl	none	17	na	index	1.02	0.04	0.98	99%	57232	0	17208	1.033665
escherichia_coli.k32.r_0.01.S_none.k_19.d_na.t_index	escherichia_coli.k32	0.01	21_cbl	none	19	na	index	1.13	0.07	1.06	100%	57492	0	20328	1.143489
escherichia_coli.k32.r_0.01.S_none.k_21.d_na.t_index	escherichia_coli.k32	0.01	21_cbl	none	21	na	index	1.36	0.04	1.31	99%	57228	0	20632	1.367979
escherichia_coli.k32.r_0.01.S_none.k_23.d_na.t_index	escherichia_coli.k32	0.01	21_cbl	none	23	na	index	1.27	0.05	1.22	99%	57888	0	23816	1.284951
escherichia_coli.k32.r_0.01.S_none.k_31.d_na.t_index	escherichia_coli.k32	0.01	21_cbl	none	31	na	index	1.74	0.06	1.67	99%	58728	0	31480	1.748217
escherichia_coli.k32.r_0.1.S_none.k_15.d_na.t_index	escherichia_coli.k32	0.1	21_cbl	none	15	na	index	7.28	0.17	7.09	99%	110820	0	76080	7.2886
escherichia_coli.k32.r_0.1.S_none.k_17.d_na.t_index	escherichia_coli.k32	0.1	21_cbl	none	17	na	index	9.76	0.19	9.55	99%	118908	0	91728	9.771388
escherichia_coli.k32.r_0.1.S_none.k_19.d_na.t_index	escherichia_coli.k32	0.1	21_cbl	none	19	na	index	11.45	0.41	11.03	99%	133200	0	122152	11.458515
escherichia_coli.k32.r_0.1.S_none.k_21.d_na.t_index	escherichia_coli.k32	0.1	21_cbl	none	21	na	index	12.37	0.36	12.00	99%	135428	0	126232	12.37689
escherichia_coli.k32.r_0.1.S_none.k_23.d_na.t_index	escherichia_coli.k32	0.1	21_cbl	none	23	na	index	12.64	0.35	12.27	99%	160252	0	158016	12.685512
escherichia_coli.k32.r_0.1.S_none.k_31.d_na.t_index	escherichia_coli.k32	0.1	21_cbl	none	31	na	index	18.20	0.57	17.62	99%	210920	0	238904	18.213137
