pref	genome	rate	prog	S_alg	k	d	qType	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.r_0.01.S_none.k_15.d_na.t_0	escherichia_coli.k32	0.01	22_cbl_query	none	15	na	0	0.57	0.01	0.56	99%	52220	14568	0	0.583249
escherichia_coli.k32.r_0.01.S_none.k_15.d_na.t_Neg	escherichia_coli.k32	0.01	22_cbl_query	none	15	na	Neg	0.55	0.01	0.53	99%	52220	0	0	0.558264
escherichia_coli.k32.r_0.01.S_none.k_15.d_na.t_Pos	escherichia_coli.k32	0.01	22_cbl_query	none	15	na	Pos	0.68	0.01	0.66	99%	52220	0	0	0.686986
escherichia_coli.k32.r_0.01.S_none.k_17.d_na.t_0	escherichia_coli.k32	0.01	22_cbl_query	none	17	na	0	0.63	0.02	0.61	99%	56976	17208	0	0.639705
escherichia_coli.k32.r_0.01.S_none.k_17.d_na.t_Neg	escherichia_coli.k32	0.01	22_cbl_query	none	17	na	Neg	0.60	0.02	0.57	99%	56976	0	0	0.607436
escherichia_coli.k32.r_0.01.S_none.k_17.d_na.t_Pos	escherichia_coli.k32	0.01	22_cbl_query	none	17	na	Pos	0.72	0.01	0.71	99%	56976	0	0	0.731863
escherichia_coli.k32.r_0.01.S_none.k_19.d_na.t_0	escherichia_coli.k32	0.01	22_cbl_query	none	19	na	0	0.67	0.02	0.65	99%	57412	20328	0	0.681186
escherichia_coli.k32.r_0.01.S_none.k_19.d_na.t_Neg	escherichia_coli.k32	0.01	22_cbl_query	none	19	na	Neg	0.63	0.02	0.61	99%	57412	0	0	0.638019
escherichia_coli.k32.r_0.01.S_none.k_19.d_na.t_Pos	escherichia_coli.k32	0.01	22_cbl_query	none	19	na	Pos	0.75	0.01	0.74	99%	57412	0	0	0.760768
escherichia_coli.k32.r_0.01.S_none.k_21.d_na.t_0	escherichia_coli.k32	0.01	22_cbl_query	none	21	na	0	0.70	0.01	0.67	99%	56820	20632	0	0.704337
escherichia_coli.k32.r_0.01.S_none.k_21.d_na.t_Neg	escherichia_coli.k32	0.01	22_cbl_query	none	21	na	Neg	0.65	0.01	0.64	100%	56820	0	0	0.65877
escherichia_coli.k32.r_0.01.S_none.k_21.d_na.t_Pos	escherichia_coli.k32	0.01	22_cbl_query	none	21	na	Pos	0.77	0.01	0.75	99%	56820	0	0	0.780045
escherichia_coli.k32.r_0.01.S_none.k_23.d_na.t_0	escherichia_coli.k32	0.01	22_cbl_query	none	23	na	0	0.73	0.03	0.69	99%	56920	23816	0	0.73614
escherichia_coli.k32.r_0.01.S_none.k_23.d_na.t_Neg	escherichia_coli.k32	0.01	22_cbl_query	none	23	na	Neg	0.68	0.04	0.64	99%	56920	0	0	0.692704
escherichia_coli.k32.r_0.01.S_none.k_23.d_na.t_Pos	escherichia_coli.k32	0.01	22_cbl_query	none	23	na	Pos	0.81	0.03	0.78	99%	56920	0	0	0.822971
escherichia_coli.k32.r_0.01.S_none.k_31.d_na.t_0	escherichia_coli.k32	0.01	22_cbl_query	none	31	na	0	0.93	0.05	0.88	99%	56360	31480	0	0.943566
escherichia_coli.k32.r_0.01.S_none.k_31.d_na.t_Neg	escherichia_coli.k32	0.01	22_cbl_query	none	31	na	Neg	0.87	0.02	0.84	99%	56360	0	0	0.879728
escherichia_coli.k32.r_0.01.S_none.k_31.d_na.t_Pos	escherichia_coli.k32	0.01	22_cbl_query	none	31	na	Pos	0.99	0.02	0.97	99%	56360	0	0	1.003226
escherichia_coli.k32.r_0.1.S_none.k_15.d_na.t_0	escherichia_coli.k32	0.1	22_cbl_query	none	15	na	0	1.00	0.04	0.96	99%	98508	76080	0	1.011104
escherichia_coli.k32.r_0.1.S_none.k_15.d_na.t_Neg	escherichia_coli.k32	0.1	22_cbl_query	none	15	na	Neg	0.96	0.04	0.91	100%	98508	0	0	0.965281
escherichia_coli.k32.r_0.1.S_none.k_15.d_na.t_Pos	escherichia_coli.k32	0.1	22_cbl_query	none	15	na	Pos	1.01	0.05	0.96	99%	98508	0	0	1.018931
escherichia_coli.k32.r_0.1.S_none.k_17.d_na.t_0	escherichia_coli.k32	0.1	22_cbl_query	none	17	na	0	1.15	0.05	1.10	99%	102728	91728	0	1.163079
escherichia_coli.k32.r_0.1.S_none.k_17.d_na.t_Neg	escherichia_coli.k32	0.1	22_cbl_query	none	17	na	Neg	1.07	0.05	1.01	99%	102728	0	0	1.076416
escherichia_coli.k32.r_0.1.S_none.k_17.d_na.t_Pos	escherichia_coli.k32	0.1	22_cbl_query	none	17	na	Pos	1.15	0.05	1.10	99%	102728	0	0	1.16316
escherichia_coli.k32.r_0.1.S_none.k_19.d_na.t_0	escherichia_coli.k32	0.1	22_cbl_query	none	19	na	0	1.20	0.06	1.13	99%	114404	122152	0	1.209571
