pref	genome	rate	prog	S_alg	k	d	qType	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.r_0.01.S_global.k_15.d_na.t_index	escherichia_coli.k32	0.01	03_fmsi	global	15	na	index	2.40	0.10	2.29	99%	94180	0	120496	2.405586
escherichia_coli.k32.r_0.01.S_local.k_15.d_1.t_index	escherichia_coli.k32	0.01	03_fmsi	local	15	1	index	8.16	0.29	7.85	99%	277252	0	375488	8.164315
escherichia_coli.k32.r_0.01.S_local.k_15.d_2.t_index	escherichia_coli.k32	0.01	03_fmsi	local	15	2	index	7.77	0.27	7.48	99%	267016	0	360544	7.778544
escherichia_coli.k32.r_0.01.S_local.k_15.d_3.t_index	escherichia_coli.k32	0.01	03_fmsi	local	15	3	index	6.77	0.25	6.50	99%	238876	0	322408	6.777156
escherichia_coli.k32.r_0.01.S_local.k_15.d_4.t_index	escherichia_coli.k32	0.01	03_fmsi	local	15	4	index	5.22	0.21	5.00	99%	189620	0	253640	5.225627
escherichia_coli.k32.r_0.01.S_local.k_15.d_5.t_index	escherichia_coli.k32	0.01	03_fmsi	local	15	5	index	3.74	0.13	3.60	99%	138680	0	180560	3.745469
escherichia_coli.k32.r_0.01.S_global.k_17.d_na.t_index	escherichia_coli.k32	0.01	03_fmsi	global	17	na	index	4.29	0.16	4.12	99%	156940	0	205136	4.300315
escherichia_coli.k32.r_0.01.S_local.k_17.d_1.t_index	escherichia_coli.k32	0.01	03_fmsi	local	17	1	index	13.30	0.43	12.85	99%	403652	0	559784	13.311343
escherichia_coli.k32.r_0.01.S_local.k_17.d_2.t_index	escherichia_coli.k32	0.01	03_fmsi	local	17	2	index	13.05	0.42	12.61	99%	398796	0	552328	13.054588
escherichia_coli.k32.r_0.01.S_local.k_17.d_3.t_index	escherichia_coli.k32	0.01	03_fmsi	local	17	3	index	12.70	0.43	12.26	99%	388388	0	539832	12.711779
escherichia_coli.k32.r_0.01.S_local.k_17.d_4.t_index	escherichia_coli.k32	0.01	03_fmsi	local	17	4	index	11.91	0.41	11.47	99%	370280	0	512496	11.920391
escherichia_coli.k32.r_0.01.S_local.k_17.d_5.t_index	escherichia_coli.k32	0.01	03_fmsi	local	17	5	index	10.16	0.31	9.84	99%	329544	0	454032	10.173573
escherichia_coli.k32.r_0.01.S_global.k_19.d_na.t_index	escherichia_coli.k32	0.01	03_fmsi	global	19	na	index	5.93	0.22	5.70	99%	214256	0	286680	5.935056
escherichia_coli.k32.r_0.01.S_local.k_19.d_1.t_index	escherichia_coli.k32	0.01	03_fmsi	local	19	1	index	16.46	0.52	15.92	99%	478460	0	666600	16.465888
escherichia_coli.k32.r_0.01.S_local.k_19.d_2.t_index	escherichia_coli.k32	0.01	03_fmsi	local	19	2	index	16.39	0.55	15.82	99%	474192	0	660184	16.396202
escherichia_coli.k32.r_0.01.S_local.k_19.d_3.t_index	escherichia_coli.k32	0.01	03_fmsi	local	19	3	index	16.15	0.49	15.64	99%	467512	0	653168	16.154615
escherichia_coli.k32.r_0.01.S_local.k_19.d_4.t_index	escherichia_coli.k32	0.01	03_fmsi	local	19	4	index	15.86	0.48	15.36	99%	461724	0	644440	15.867015
escherichia_coli.k32.r_0.01.S_local.k_19.d_5.t_index	escherichia_coli.k32	0.01	03_fmsi	local	19	5	index	15.39	0.45	14.92	99%	452144	0	629984	15.400559
escherichia_coli.k32.r_0.01.S_global.k_21.d_na.t_index	escherichia_coli.k32	0.01	03_fmsi	global	21	na	index	7.89	0.30	7.57	99%	268564	0	362944	7.89661
escherichia_coli.k32.r_0.01.S_local.k_21.d_1.t_index	escherichia_coli.k32	0.01	03_fmsi	local	21	1	index	19.68	0.60	19.06	99%	547644	0	768024	19.688002
escherichia_coli.k32.r_0.01.S_local.k_21.d_2.t_index	escherichia_coli.k32	0.01	03_fmsi	local	21	2	index	19.44	0.59	18.83	99%	542732	0	760640	19.447942
escherichia_coli.k32.r_0.01.S_local.k_21.d_3.t_index	escherichia_coli.k32	0.01	03_fmsi	local	21	3	index	19.18	0.61	18.55	99%	538036	0	753520	19.189535
escherichia_coli.k32.r_0.01.S_local.k_21.d_4.t_index	escherichia_coli.k32	0.01	03_fmsi	local	21	4	index	18.90	0.59	18.29	99%	533360	0	746464	18.908515
escherichia_coli.k32.r_0.01.S_local.k_21.d_5.t_index	escherichia_coli.k32	0.01	03_fmsi	local	21	5	index	18.85	0.58	18.25	99%	528296	0	738848	18.860833
escherichia_coli.k32.r_0.01.S_global.k_23.d_na.t_index	escherichia_coli.k32	0.01	03_fmsi	global	23	na	index	10.12	0.34	9.77	99%	329392	0	453928	10.133956
escherichia_coli.k32.r_0.01.S_local.k_23.d_1.t_index	escherichia_coli.k32	0.01	03_fmsi	local	23	1	index	23.23	0.69	22.51	99%	621000	0	872616	23.241905
escherichia_coli.k32.r_0.01.S_local.k_23.d_2.t_index	escherichia_coli.k32	0.01	03_fmsi	local	23	2	index	22.67	0.64	22.01	99%	615452	0	864272	22.681909
escherichia_coli.k32.r_0.01.S_local.k_23.d_3.t_index	escherichia_coli.k32	0.01	03_fmsi	local	23	3	index	22.41	0.66	21.72	99%	610152	0	856280	22.416787
escherichia_coli.k32.r_0.01.S_local.k_23.d_4.t_index	escherichia_coli.k32	0.01	03_fmsi	local	23	4	index	22.16	0.65	21.48	99%	604860	0	848288	22.165609
escherichia_coli.k32.r_0.01.S_local.k_23.d_5.t_index	escherichia_coli.k32	0.01	03_fmsi	local	23	5	index	21.79	0.64	21.13	99%	598228	0	840528	21.801586
escherichia_coli.k32.r_0.01.S_global.k_31.d_na.t_index	escherichia_coli.k32	0.01	03_fmsi	global	31	na	index	20.55	0.63	19.91	99%	569992	0	798936	20.560807
escherichia_coli.k32.r_0.01.S_local.k_31.d_1.t_index	escherichia_coli.k32	0.01	03_fmsi	local	31	1	index	37.33	1.09	36.20	99%	908404	0	1369656	37.333423
escherichia_coli.k32.r_0.01.S_local.k_31.d_2.t_index	escherichia_coli.k32	0.01	03_fmsi	local	31	2	index	36.83	1.11	35.69	99%	898096	0	1356504	36.838058
escherichia_coli.k32.r_0.01.S_local.k_31.d_3.t_index	escherichia_coli.k32	0.01	03_fmsi	local	31	3	index	36.47	1.05	35.38	99%	890328	0	1343720	36.476093
escherichia_coli.k32.r_0.01.S_local.k_31.d_4.t_index	escherichia_coli.k32	0.01	03_fmsi	local	31	4	index	36.10	1.05	35.02	99%	882032	0	1331032	36.113511
escherichia_coli.k32.r_0.01.S_local.k_31.d_5.t_index	escherichia_coli.k32	0.01	03_fmsi	local	31	5	index	35.59	1.00	34.56	99%	874548	0	1318808	35.597915
escherichia_coli.k32.r_0.1.S_global.k_15.d_na.t_index	escherichia_coli.k32	0.1	03_fmsi	global	15	na	index	21.30	0.70	20.58	99%	570160	0	804160	21.308972
escherichia_coli.k32.r_0.1.S_local.k_15.d_1.t_index	escherichia_coli.k32	0.1	03_fmsi	local	15	1	index	100.88	2.64	98.15	99%	2266036	0	3537096	100.886067
escherichia_coli.k32.r_0.1.S_local.k_15.d_2.t_index	escherichia_coli.k32	0.1	03_fmsi	local	15	2	index	74.59	2.06	72.45	99%	1710320	0	2660992	74.600468
escherichia_coli.k32.r_0.1.S_local.k_15.d_3.t_index	escherichia_coli.k32	0.1	03_fmsi	local	15	3	index	48.01	1.33	46.64	99%	1144772	0	1736296	48.016491
escherichia_coli.k32.r_0.1.S_local.k_15.d_4.t_index	escherichia_coli.k32	0.1	03_fmsi	local	15	4	index	32.61	0.97	31.61	99%	810788	0	1222792	32.617601
escherichia_coli.k32.r_0.1.S_local.k_15.d_5.t_index	escherichia_coli.k32	0.1	03_fmsi	local	15	5	index	26.62	0.75	25.84	99%	680088	0	1022416	26.626255
escherichia_coli.k32.r_0.1.S_global.k_17.d_na.t_index	escherichia_coli.k32	0.1	03_fmsi	global	17	na	index	41.04	1.36	39.64	99%	958352	0	1448360	41.047685
escherichia_coli.k32.r_0.1.S_local.k_17.d_1.t_index	escherichia_coli.k32	0.1	03_fmsi	local	17	1	index	159.19	4.30	154.76	99%	3438456	0	5496496	159.196084
