pref	genome	rate	prog	S_alg	k	d	qType	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.r_0.01.S_global.k_15.d_na.t_0	escherichia_coli.k32	0.01	04_fmsi_query	global	15	na	0	22.14	0.19	21.93	99%	5628	3528	0	22.147418
escherichia_coli.k32.r_0.01.S_global.k_15.d_na.t_Neg	escherichia_coli.k32	0.01	04_fmsi_query	global	15	na	Neg	21.49	0.22	21.25	99%	5444	0	0	21.497434
escherichia_coli.k32.r_0.01.S_global.k_15.d_na.t_Pos	escherichia_coli.k32	0.01	04_fmsi_query	global	15	na	Pos	25.27	0.18	25.07	99%	5444	0	0	25.278033
escherichia_coli.k32.r_0.01.S_local.k_15.d_1.t_0	escherichia_coli.k32	0.01	04_fmsi_query	local	15	1	0	23.29	0.14	23.13	99%	8536	9328	0	23.300239
escherichia_coli.k32.r_0.01.S_local.k_15.d_1.t_Neg	escherichia_coli.k32	0.01	04_fmsi_query	local	15	1	Neg	22.43	0.15	22.27	99%	8536	0	0	22.439441
escherichia_coli.k32.r_0.01.S_local.k_15.d_1.t_Pos	escherichia_coli.k32	0.01	04_fmsi_query	local	15	1	Pos	25.70	0.17	25.51	99%	8536	0	0	25.710428
escherichia_coli.k32.r_0.01.S_local.k_15.d_2.t_0	escherichia_coli.k32	0.01	04_fmsi_query	local	15	2	0	23.21	0.15	23.03	99%	8268	9008	0	23.217921
escherichia_coli.k32.r_0.01.S_local.k_15.d_2.t_Neg	escherichia_coli.k32	0.01	04_fmsi_query	local	15	2	Neg	23.59	0.22	23.35	99%	8372	0	0	23.599189
escherichia_coli.k32.r_0.01.S_local.k_15.d_2.t_Pos	escherichia_coli.k32	0.01	04_fmsi_query	local	15	2	Pos	25.78	0.14	25.62	99%	8268	0	0	25.786938
escherichia_coli.k32.r_0.01.S_local.k_15.d_3.t_0	escherichia_coli.k32	0.01	04_fmsi_query	local	15	3	0	22.95	0.13	22.80	99%	7740	8152	0	22.957194
escherichia_coli.k32.r_0.01.S_local.k_15.d_3.t_Neg	escherichia_coli.k32	0.01	04_fmsi_query	local	15	3	Neg	22.20	0.14	22.05	99%	7740	0	0	22.207179
escherichia_coli.k32.r_0.01.S_local.k_15.d_3.t_Pos	escherichia_coli.k32	0.01	04_fmsi_query	local	15	3	Pos	25.39	0.21	25.17	99%	7740	0	0	25.404841
escherichia_coli.k32.r_0.01.S_local.k_15.d_4.t_0	escherichia_coli.k32	0.01	04_fmsi_query	local	15	4	0	22.50	0.16	22.32	99%	6956	6608	0	22.50392
escherichia_coli.k32.r_0.01.S_local.k_15.d_4.t_Neg	escherichia_coli.k32	0.01	04_fmsi_query	local	15	4	Neg	22.64	0.15	22.47	99%	6956	0	0	22.649997
escherichia_coli.k32.r_0.01.S_local.k_15.d_4.t_Pos	escherichia_coli.k32	0.01	04_fmsi_query	local	15	4	Pos	25.11	0.18	24.91	99%	6956	0	0	25.11606
escherichia_coli.k32.r_0.01.S_local.k_15.d_5.t_0	escherichia_coli.k32	0.01	04_fmsi_query	local	15	5	0	22.44	0.16	22.27	99%	6368	5016	0	22.451337
escherichia_coli.k32.r_0.01.S_local.k_15.d_5.t_Neg	escherichia_coli.k32	0.01	04_fmsi_query	local	15	5	Neg	21.78	0.17	21.59	99%	6368	0	0	21.784229
escherichia_coli.k32.r_0.01.S_local.k_15.d_5.t_Pos	escherichia_coli.k32	0.01	04_fmsi_query	local	15	5	Pos	25.29	0.21	25.06	99%	6232	0	0	25.301836
escherichia_coli.k32.r_0.01.S_global.k_17.d_na.t_0	escherichia_coli.k32	0.01	04_fmsi_query	global	17	na	0	22.75	0.18	22.56	99%	6496	5760	0	22.764448
escherichia_coli.k32.r_0.01.S_global.k_17.d_na.t_Neg	escherichia_coli.k32	0.01	04_fmsi_query	global	17	na	Neg	21.97	0.15	21.81	99%	6496	0	0	21.97742
escherichia_coli.k32.r_0.01.S_global.k_17.d_na.t_Pos	escherichia_coli.k32	0.01	04_fmsi_query	global	17	na	Pos	27.20	0.17	27.01	99%	6496	0	0	27.211191
escherichia_coli.k32.r_0.01.S_local.k_17.d_1.t_0	escherichia_coli.k32	0.01	04_fmsi_query	local	17	1	0	24.51	0.23	24.25	99%	10552	13368	0	24.516846
escherichia_coli.k32.r_0.01.S_local.k_17.d_1.t_Neg	escherichia_coli.k32	0.01	04_fmsi_query	local	17	1	Neg	23.53	0.23	23.28	99%	10380	0	0	23.541224
escherichia_coli.k32.r_0.01.S_local.k_17.d_1.t_Pos	escherichia_coli.k32	0.01	04_fmsi_query	local	17	1	Pos	28.37	0.23	28.12	99%	10380	0	0	28.382145
escherichia_coli.k32.r_0.01.S_local.k_17.d_2.t_0	escherichia_coli.k32	0.01	04_fmsi_query	local	17	2	0	24.46	0.21	24.24	99%	10380	13216	0	24.471842
escherichia_coli.k32.r_0.01.S_local.k_17.d_2.t_Neg	escherichia_coli.k32	0.01	04_fmsi_query	local	17	2	Neg	23.80	0.17	23.62	99%	10380	0	0	23.805804
escherichia_coli.k32.r_0.01.S_local.k_17.d_2.t_Pos	escherichia_coli.k32	0.01	04_fmsi_query	local	17	2	Pos	28.37	0.17	28.19	99%	10380	0	0	28.383512
