pref	genome	rate	prog	S_alg	k	d	qType	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_15.d_na.t_index	sars-cov-2_pangenome_k32	0.01	07_prophex	prophasm	15	na	index	0.24	0.01	0.22	97%	11984	0	6088	0.251861
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_17.d_na.t_index	sars-cov-2_pangenome_k32	0.01	07_prophex	prophasm	17	na	index	0.32	0.01	0.30	98%	14884	8	7712	0.326239
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_19.d_na.t_index	sars-cov-2_pangenome_k32	0.01	07_prophex	prophasm	19	na	index	0.41	0.01	0.39	98%	17940	16	9408	0.4232
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_21.d_na.t_index	sars-cov-2_pangenome_k32	0.01	07_prophex	prophasm	21	na	index	0.51	0.00	0.50	98%	21520	8	11304	0.519882
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_23.d_na.t_index	sars-cov-2_pangenome_k32	0.01	07_prophex	prophasm	23	na	index	0.63	0.01	0.61	98%	25044	8	13344	0.642695
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_31.d_na.t_index	sars-cov-2_pangenome_k32	0.01	07_prophex	prophasm	31	na	index	1.31	0.02	1.28	99%	43412	0	23192	1.32254
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_15.d_na.t_index	sars-cov-2_pangenome_k32	0.1	07_prophex	prophasm	15	na	index	2.89	0.06	2.81	99%	79148	0	56096	2.903576
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_17.d_na.t_index	sars-cov-2_pangenome_k32	0.1	07_prophex	prophasm	17	na	index	3.66	0.06	3.56	99%	85252	8	71304	3.666891
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_19.d_na.t_index	sars-cov-2_pangenome_k32	0.1	07_prophex	prophasm	19	na	index	5.84	0.13	5.66	99%	91016	8	87192	5.853349
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_21.d_na.t_index	sars-cov-2_pangenome_k32	0.1	07_prophex	prophasm	21	na	index	6.16	0.12	5.99	99%	96868	16	104528	6.165111
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_23.d_na.t_index	sars-cov-2_pangenome_k32	0.1	07_prophex	prophasm	23	na	index	7.82	0.13	7.63	99%	102940	0	123280	7.826243
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_31.d_na.t_index	sars-cov-2_pangenome_k32	0.1	07_prophex	prophasm	31	na	index	16.95	0.18	16.67	99%	129400	0	213752	16.957205
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_15.d_na.t_index	sars-cov-2_pangenome_k32	0.2	07_prophex	prophasm	15	na	index	5.22	0.10	5.08	99%	102140	8	99728	5.227836
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_17.d_na.t_index	sars-cov-2_pangenome_k32	0.2	07_prophex	prophasm	17	na	index	8.81	0.27	8.48	99%	113052	8	127496	8.821033
