pref	genome	rate	prog	S_alg	k	d	qType	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_15.d_na.t_0	sars-cov-2_pangenome_k32	0.01	08_prophex_query	prophasm	15	na	0	0.13	0.01	0.12	99%	27932	0	0	0.143163
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_15.d_na.t_Neg	sars-cov-2_pangenome_k32	0.01	08_prophex_query	prophasm	15	na	Neg	0.13	0.00	0.12	100%	27932	0	0	0.137545
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_15.d_na.t_Pos	sars-cov-2_pangenome_k32	0.01	08_prophex_query	prophasm	15	na	Pos	0.13	0.00	0.12	100%	15336	0	0	0.140688
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_17.d_na.t_0	sars-cov-2_pangenome_k32	0.01	08_prophex_query	prophasm	17	na	0	0.14	0.02	0.11	99%	24104	0	0	0.154817
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_17.d_na.t_Neg	sars-cov-2_pangenome_k32	0.01	08_prophex_query	prophasm	17	na	Neg	0.13	0.01	0.11	98%	24104	0	0	0.140439
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_17.d_na.t_Pos	sars-cov-2_pangenome_k32	0.01	08_prophex_query	prophasm	17	na	Pos	0.16	0.00	0.15	100%	17668	0	0	0.163962
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_19.d_na.t_0	sars-cov-2_pangenome_k32	0.01	08_prophex_query	prophasm	19	na	0	0.15	0.00	0.14	99%	29176	0	0	0.155064
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_19.d_na.t_Neg	sars-cov-2_pangenome_k32	0.01	08_prophex_query	prophasm	19	na	Neg	0.14	0.00	0.13	100%	29176	0	0	0.148645
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_19.d_na.t_Pos	sars-cov-2_pangenome_k32	0.01	08_prophex_query	prophasm	19	na	Pos	0.20	0.00	0.19	100%	23220	0	0	0.205703
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_21.d_na.t_0	sars-cov-2_pangenome_k32	0.01	08_prophex_query	prophasm	21	na	0	0.16	0.02	0.14	99%	30928	0	0	0.165585
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_21.d_na.t_Neg	sars-cov-2_pangenome_k32	0.01	08_prophex_query	prophasm	21	na	Neg	0.15	0.01	0.13	100%	26260	0	0	0.155294
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_21.d_na.t_Pos	sars-cov-2_pangenome_k32	0.01	08_prophex_query	prophasm	21	na	Pos	0.22	0.02	0.20	100%	25416	0	0	0.229485
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_23.d_na.t_0	sars-cov-2_pangenome_k32	0.01	08_prophex_query	prophasm	23	na	0	0.16	0.00	0.16	100%	28852	0	0	0.172016
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_23.d_na.t_Neg	sars-cov-2_pangenome_k32	0.01	08_prophex_query	prophasm	23	na	Neg	0.15	0.01	0.13	99%	28852	0	0	0.155322
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_23.d_na.t_Pos	sars-cov-2_pangenome_k32	0.01	08_prophex_query	prophasm	23	na	Pos	0.26	0.00	0.25	100%	25928	0	0	0.265388
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_31.d_na.t_0	sars-cov-2_pangenome_k32	0.01	08_prophex_query	prophasm	31	na	0	0.19	0.01	0.18	99%	36960	0	0	0.202068
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_31.d_na.t_Neg	sars-cov-2_pangenome_k32	0.01	08_prophex_query	prophasm	31	na	Neg	0.17	0.01	0.15	100%	34180	0	0	0.178332
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_31.d_na.t_Pos	sars-cov-2_pangenome_k32	0.01	08_prophex_query	prophasm	31	na	Pos	0.38	0.01	0.37	99%	36960	0	0	0.390933
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_15.d_na.t_0	sars-cov-2_pangenome_k32	0.1	08_prophex_query	prophasm	15	na	0	0.35	0.03	0.31	99%	67504	0	0	0.355236
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_15.d_na.t_Neg	sars-cov-2_pangenome_k32	0.1	08_prophex_query	prophasm	15	na	Neg	0.30	0.02	0.28	99%	67084	0	0	0.310675
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_15.d_na.t_Pos	sars-cov-2_pangenome_k32	0.1	08_prophex_query	prophasm	15	na	Pos	0.51	0.02	0.48	99%	67504	0	0	0.518361
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_17.d_na.t_0	sars-cov-2_pangenome_k32	0.1	08_prophex_query	prophasm	17	na	0	0.52	0.02	0.50	99%	80516	0	0	0.529591
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_17.d_na.t_Neg	sars-cov-2_pangenome_k32	0.1	08_prophex_query	prophasm	17	na	Neg	0.33	0.03	0.30	99%	80516	0	0	0.340744
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_17.d_na.t_Pos	sars-cov-2_pangenome_k32	0.1	08_prophex_query	prophasm	17	na	Pos	0.59	0.04	0.55	99%	80516	0	0	0.601812
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_19.d_na.t_0	sars-cov-2_pangenome_k32	0.1	08_prophex_query	prophasm	19	na	0	0.49	0.06	0.42	99%	83932	0	0	0.497773
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_19.d_na.t_Neg	sars-cov-2_pangenome_k32	0.1	08_prophex_query	prophasm	19	na	Neg	0.39	0.03	0.35	99%	86120	0	0	0.395528
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_19.d_na.t_Pos	sars-cov-2_pangenome_k32	0.1	08_prophex_query	prophasm	19	na	Pos	0.80	0.06	0.73	99%	85132	0	0	0.803823
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_21.d_na.t_0	sars-cov-2_pangenome_k32	0.1	08_prophex_query	prophasm	21	na	0	0.49	0.04	0.44	98%	98704	77872	0	0.4964
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_21.d_na.t_Neg	sars-cov-2_pangenome_k32	0.1	08_prophex_query	prophasm	21	na	Neg	0.39	0.03	0.36	99%	98704	0	0	0.400315
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_21.d_na.t_Pos	sars-cov-2_pangenome_k32	0.1	08_prophex_query	prophasm	21	na	Pos	0.78	0.04	0.74	99%	98704	0	0	0.789114
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_23.d_na.t_0	sars-cov-2_pangenome_k32	0.1	08_prophex_query	prophasm	23	na	0	0.60	0.07	0.52	100%	104488	0	0	0.611322
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_23.d_na.t_Neg	sars-cov-2_pangenome_k32	0.1	08_prophex_query	prophasm	23	na	Neg	0.46	0.06	0.40	99%	104488	0	0	0.473761
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_23.d_na.t_Pos	sars-cov-2_pangenome_k32	0.1	08_prophex_query	prophasm	23	na	Pos	1.02	0.06	0.95	99%	104488	6040	0	1.028592
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_31.d_na.t_0	sars-cov-2_pangenome_k32	0.1	08_prophex_query	prophasm	31	na	0	0.85	0.08	0.75	98%	159740	152360	0	0.856771
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_31.d_na.t_Neg	sars-cov-2_pangenome_k32	0.1	08_prophex_query	prophasm	31	na	Neg	0.62	0.09	0.53	100%	153228	0	0	0.631416
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_31.d_na.t_Pos	sars-cov-2_pangenome_k32	0.1	08_prophex_query	prophasm	31	na	Pos	1.76	0.05	1.70	99%	159764	7600	0	1.764424
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_15.d_na.t_0	sars-cov-2_pangenome_k32	0.2	08_prophex_query	prophasm	15	na	0	0.63	0.06	0.57	99%	99776	77344	0	0.640961
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_15.d_na.t_Neg	sars-cov-2_pangenome_k32	0.2	08_prophex_query	prophasm	15	na	Neg	0.47	0.05	0.41	99%	100748	0	0	0.475933
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_15.d_na.t_Pos	sars-cov-2_pangenome_k32	0.2	08_prophex_query	prophasm	15	na	Pos	1.03	0.05	0.98	99%	99776	0	0	1.038033
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_17.d_na.t_0	sars-cov-2_pangenome_k32	0.2	08_prophex_query	prophasm	17	na	0	0.77	0.09	0.64	94%	117692	106576	0	0.780018
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_17.d_na.t_Neg	sars-cov-2_pangenome_k32	0.2	08_prophex_query	prophasm	17	na	Neg	0.55	0.05	0.49	99%	117692	0	0	0.561315
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_17.d_na.t_Pos	sars-cov-2_pangenome_k32	0.2	08_prophex_query	prophasm	17	na	Pos	1.13	0.09	1.04	99%	117692	81992	0	1.142329
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_19.d_na.t_0	sars-cov-2_pangenome_k32	0.2	08_prophex_query	prophasm	19	na	0	0.90	0.07	0.81	98%	142676	117664	0	0.908267
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_19.d_na.t_Neg	sars-cov-2_pangenome_k32	0.2	08_prophex_query	prophasm	19	na	Neg	0.59	0.09	0.50	99%	134896	0	0	0.601475
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_19.d_na.t_Pos	sars-cov-2_pangenome_k32	0.2	08_prophex_query	prophasm	19	na	Pos	1.33	0.09	1.23	99%	136420	5256	0	1.340932
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_21.d_na.t_0	sars-cov-2_pangenome_k32	0.2	08_prophex_query	prophasm	21	na	0	1.02	0.09	0.91	99%	158176	139496	0	1.026259
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_21.d_na.t_Neg	sars-cov-2_pangenome_k32	0.2	08_prophex_query	prophasm	21	na	Neg	0.66	0.12	0.53	99%	153144	0	0	0.668129
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_21.d_na.t_Pos	sars-cov-2_pangenome_k32	0.2	08_prophex_query	prophasm	21	na	Pos	1.30	0.11	1.18	99%	152800	5648	0	1.308122
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_23.d_na.t_0	sars-cov-2_pangenome_k32	0.2	08_prophex_query	prophasm	23	na	0	1.31	0.11	1.18	99%	171484	0	0	1.315706
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_23.d_na.t_Neg	sars-cov-2_pangenome_k32	0.2	08_prophex_query	prophasm	23	na	Neg	0.73	0.09	0.63	100%	171484	0	0	0.742491
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_23.d_na.t_Pos	sars-cov-2_pangenome_k32	0.2	08_prophex_query	prophasm	23	na	Pos	1.80	0.12	1.68	99%	171484	8	0	1.810534
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_31.d_na.t_0	sars-cov-2_pangenome_k32	0.2	08_prophex_query	prophasm	31	na	0	1.35	0.13	1.20	98%	260108	272808	0	1.356178
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_31.d_na.t_Neg	sars-cov-2_pangenome_k32	0.2	08_prophex_query	prophasm	31	na	Neg	1.04	0.18	0.85	99%	256776	0	0	1.045738
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_31.d_na.t_Pos	sars-cov-2_pangenome_k32	0.2	08_prophex_query	prophasm	31	na	Pos	2.28	0.12	2.16	99%	260108	7600	0	2.291501
sars-cov-2_pangenome_k32.r_0.3.S_prophasm.k_15.d_na.t_0	sars-cov-2_pangenome_k32	0.3	08_prophex_query	prophasm	15	na	0	0.88	0.09	0.76	96%	125192	111720	0	0.888335
sars-cov-2_pangenome_k32.r_0.3.S_prophasm.k_15.d_na.t_Neg	sars-cov-2_pangenome_k32	0.3	08_prophex_query	prophasm	15	na	Neg	0.60	0.06	0.53	99%	125192	0	0	0.606307
sars-cov-2_pangenome_k32.r_0.3.S_prophasm.k_15.d_na.t_Pos	sars-cov-2_pangenome_k32	0.3	08_prophex_query	prophasm	15	na	Pos	1.09	0.08	1.00	99%	125192	88664	0	1.098315
sars-cov-2_pangenome_k32.r_0.3.S_prophasm.k_17.d_na.t_0	sars-cov-2_pangenome_k32	0.3	08_prophex_query	prophasm	17	na	0	0.94	0.04	0.90	99%	153080	0	0	0.953067
sars-cov-2_pangenome_k32.r_0.3.S_prophasm.k_17.d_na.t_Neg	sars-cov-2_pangenome_k32	0.3	08_prophex_query	prophasm	17	na	Neg	0.68	0.09	0.58	99%	148972	0	0	0.689134
sars-cov-2_pangenome_k32.r_0.3.S_prophasm.k_17.d_na.t_Pos	sars-cov-2_pangenome_k32	0.3	08_prophex_query	prophasm	17	na	Pos	1.33	0.11	1.21	99%	148972	0	0	1.335366
sars-cov-2_pangenome_k32.r_0.3.S_prophasm.k_19.d_na.t_0	sars-cov-2_pangenome_k32	0.3	08_prophex_query	prophasm	19	na	0	1.25	0.13	1.11	99%	171636	155496	0	1.261022
sars-cov-2_pangenome_k32.r_0.3.S_prophasm.k_19.d_na.t_Neg	sars-cov-2_pangenome_k32	0.3	08_prophex_query	prophasm	19	na	Neg	0.73	0.05	0.68	100%	175184	0	0	0.740016
sars-cov-2_pangenome_k32.r_0.3.S_prophasm.k_19.d_na.t_Pos	sars-cov-2_pangenome_k32	0.3	08_prophex_query	prophasm	19	na	Pos	1.72	0.13	1.58	99%	171636	5256	0	1.731669
sars-cov-2_pangenome_k32.r_0.3.S_prophasm.k_21.d_na.t_0	sars-cov-2_pangenome_k32	0.3	08_prophex_query	prophasm	21	na	0	1.60	0.19	1.39	99%	195180	184688	0	1.606148
sars-cov-2_pangenome_k32.r_0.3.S_prophasm.k_21.d_na.t_Neg	sars-cov-2_pangenome_k32	0.3	08_prophex_query	prophasm	21	na	Neg	0.80	0.09	0.71	99%	198180	0	0	0.809064
sars-cov-2_pangenome_k32.r_0.3.S_prophasm.k_21.d_na.t_Pos	sars-cov-2_pangenome_k32	0.3	08_prophex_query	prophasm	21	na	Pos	1.39	0.09	1.29	99%	198180	5632	0	1.396135
sars-cov-2_pangenome_k32.r_0.3.S_prophasm.k_23.d_na.t_0	sars-cov-2_pangenome_k32	0.3	08_prophex_query	prophasm	23	na	0	1.24	0.12	1.09	97%	224252	215384	0	1.252895
sars-cov-2_pangenome_k32.r_0.3.S_prophasm.k_23.d_na.t_Neg	sars-cov-2_pangenome_k32	0.3	08_prophex_query	prophasm	23	na	Neg	0.85	0.09	0.75	99%	224252	0	0	0.855519
sars-cov-2_pangenome_k32.r_0.3.S_prophasm.k_23.d_na.t_Pos	sars-cov-2_pangenome_k32	0.3	08_prophex_query	prophasm	23	na	Pos	1.49	0.07	1.42	99%	224252	6040	0	1.501992
sars-cov-2_pangenome_k32.r_0.3.S_prophasm.k_31.d_na.t_0	sars-cov-2_pangenome_k32	0.3	08_prophex_query	prophasm	31	na	0	2.22	0.33	1.87	99%	331388	360056	0	2.225343
sars-cov-2_pangenome_k32.r_0.3.S_prophasm.k_31.d_na.t_Neg	sars-cov-2_pangenome_k32	0.3	08_prophex_query	prophasm	31	na	Neg	1.28	0.23	1.04	99%	331388	0	0	1.286921
sars-cov-2_pangenome_k32.r_0.3.S_prophasm.k_31.d_na.t_Pos	sars-cov-2_pangenome_k32	0.3	08_prophex_query	prophasm	31	na	Pos	2.31	0.23	2.07	99%	331388	7600	0	2.314602
sars-cov-2_pangenome_k32.r_0.4.S_prophasm.k_15.d_na.t_0	sars-cov-2_pangenome_k32	0.4	08_prophex_query	prophasm	15	na	0	0.90	0.06	0.83	99%	146504	0	0	0.904463
sars-cov-2_pangenome_k32.r_0.4.S_prophasm.k_15.d_na.t_Neg	sars-cov-2_pangenome_k32	0.4	08_prophex_query	prophasm	15	na	Neg	0.65	0.06	0.58	99%	141160	0	0	0.658046
sars-cov-2_pangenome_k32.r_0.4.S_prophasm.k_15.d_na.t_Pos	sars-cov-2_pangenome_k32	0.4	08_prophex_query	prophasm	15	na	Pos	1.14	0.07	1.06	99%	141712	8	0	1.147546
sars-cov-2_pangenome_k32.r_0.4.S_prophasm.k_17.d_na.t_0	sars-cov-2_pangenome_k32	0.4	08_prophex_query	prophasm	17	na	0	1.45	0.13	1.30	99%	168576	149408	0	1.459807
sars-cov-2_pangenome_k32.r_0.4.S_prophasm.k_17.d_na.t_Neg	sars-cov-2_pangenome_k32	0.4	08_prophex_query	prophasm	17	na	Neg	0.77	0.11	0.66	99%	168576	0	0	0.783741
sars-cov-2_pangenome_k32.r_0.4.S_prophasm.k_17.d_na.t_Pos	sars-cov-2_pangenome_k32	0.4	08_prophex_query	prophasm	17	na	Pos	1.59	0.07	1.51	99%	173384	20472	0	1.596037
sars-cov-2_pangenome_k32.r_0.4.S_prophasm.k_19.d_na.t_0	sars-cov-2_pangenome_k32	0.4	08_prophex_query	prophasm	19	na	0	1.23	0.10	1.09	97%	199232	180328	0	1.241123
sars-cov-2_pangenome_k32.r_0.4.S_prophasm.k_19.d_na.t_Neg	sars-cov-2_pangenome_k32	0.4	08_prophex_query	prophasm	19	na	Neg	0.85	0.11	0.74	99%	194628	0	0	0.86273
