pref	genome	rate	prog	S_alg	k	d	qType	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.r_0.01.S_none.k_15.d_0.t_index	escherichia_coli.k32	0.01	11_sbwt	none	15	0	index	33.23	2.04	31.61	101%	619556	0	1853160	33.240058
escherichia_coli.k32.r_0.01.S_none.k_15.d_1.t_index	escherichia_coli.k32	0.01	11_sbwt	none	15	1	index	16.54	0.93	15.79	101%	312620	0	918840	16.550255
escherichia_coli.k32.r_0.01.S_none.k_15.d_2.t_index	escherichia_coli.k32	0.01	11_sbwt	none	15	2	index	31.12	1.94	29.67	101%	618780	0	1851896	31.133042
escherichia_coli.k32.r_0.01.S_none.k_17.d_0.t_index	escherichia_coli.k32	0.01	11_sbwt	none	17	0	index	51.48	2.97	49.30	101%	875568	0	2685048	51.492003
escherichia_coli.k32.r_0.01.S_none.k_17.d_1.t_index	escherichia_coli.k32	0.01	11_sbwt	none	17	1	index	21.41	1.31	20.41	101%	459056	0	1331144	21.42359
escherichia_coli.k32.r_0.01.S_none.k_17.d_2.t_index	escherichia_coli.k32	0.01	11_sbwt	none	17	2	index	47.68	2.71	45.68	101%	875692	0	2681768	47.688188
escherichia_coli.k32.r_0.01.S_none.k_19.d_0.t_index	escherichia_coli.k32	0.01	11_sbwt	none	19	0	index	68.03	3.79	65.23	101%	953168	0	3176896	68.036572
escherichia_coli.k32.r_0.01.S_none.k_19.d_1.t_index	escherichia_coli.k32	0.01	11_sbwt	none	19	1	index	30.00	1.59	28.79	101%	497924	0	1569584	30.013608
escherichia_coli.k32.r_0.01.S_none.k_19.d_2.t_index	escherichia_coli.k32	0.01	11_sbwt	none	19	2	index	58.19	3.04	56.06	101%	953468	0	3171288	58.198527
escherichia_coli.k32.r_0.01.S_none.k_21.d_0.t_index	escherichia_coli.k32	0.01	11_sbwt	none	21	0	index	64.52	3.41	62.01	101%	1053156	0	3660400	64.533312
escherichia_coli.k32.r_0.01.S_none.k_21.d_1.t_index	escherichia_coli.k32	0.01	11_sbwt	none	21	1	index	30.65	2.02	29.04	101%	548096	0	1812456	30.659494
escherichia_coli.k32.r_0.01.S_none.k_21.d_2.t_index	escherichia_coli.k32	0.01	11_sbwt	none	21	2	index	80.82	3.68	78.06	101%	1053256	0	3652232	80.826245
escherichia_coli.k32.r_0.01.S_none.k_23.d_0.t_index	escherichia_coli.k32	0.01	11_sbwt	none	23	0	index	90.08	3.92	87.25	101%	1192012	0	4140272	90.09419
escherichia_coli.k32.r_0.01.S_none.k_23.d_1.t_index	escherichia_coli.k32	0.01	11_sbwt	none	23	1	index	42.40	2.04	40.81	101%	619756	0	2044584	42.411999
escherichia_coli.k32.r_0.01.S_none.k_23.d_2.t_index	escherichia_coli.k32	0.01	11_sbwt	none	23	2	index	95.82	4.04	92.89	101%	1192112	0	4129328	95.829304
escherichia_coli.k32.r_0.01.S_none.k_31.d_0.t_index	escherichia_coli.k32	0.01	11_sbwt	none	31	0	index	120.84	5.63	116.90	101%	1866436	0	6290432	120.845555
escherichia_coli.k32.r_0.01.S_none.k_31.d_1.t_index	escherichia_coli.k32	0.01	11_sbwt	none	31	1	index	63.80	3.08	61.49	101%	1000780	0	3106648	63.810711
escherichia_coli.k32.r_0.01.S_none.k_31.d_2.t_index	escherichia_coli.k32	0.01	11_sbwt	none	31	2	index	136.32	5.90	132.09	101%	1866424	0	6266440	136.327046
escherichia_coli.k32.r_0.1.S_none.k_15.d_0.t_index	escherichia_coli.k32	0.1	11_sbwt	none	15	0	index	289.19	15.25	278.34	101%	4352528	0	15968920	289.205064
escherichia_coli.k32.r_0.1.S_none.k_15.d_1.t_index	escherichia_coli.k32	0.1	11_sbwt	none	15	1	index	146.95	8.32	141.16	101%	2351388	0	8327688	146.957572
escherichia_coli.k32.r_0.1.S_none.k_15.d_2.t_index	escherichia_coli.k32	0.1	11_sbwt	none	15	2	index	295.20	15.02	285.13	101%	4352528	0	15966032	295.210848
escherichia_coli.k32.r_0.1.S_none.k_17.d_0.t_index	escherichia_coli.k32	0.1	11_sbwt	none	17	0	index	491.58	33.93	467.26	101%	6986556	0	24192336	491.588223
escherichia_coli.k32.r_0.1.S_none.k_17.d_1.t_index	escherichia_coli.k32	0.1	11_sbwt	none	17	1	index	235.49	11.63	227.46	101%	3672304	0	12403056	235.50079
