pref	genome	rate	prog	S_alg	k	d	qType	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.r_0.01.S_none.k_15.d_0.t_0	escherichia_coli.k32	0.01	12_sbwt_query	none	15	0	0	0.47	0.01	0.46	100%	35472	0	0	0.483394
escherichia_coli.k32.r_0.01.S_none.k_15.d_0.t_Neg	escherichia_coli.k32	0.01	12_sbwt_query	none	15	0	Neg	0.46	0.02	0.44	99%	35472	0	0	0.467399
escherichia_coli.k32.r_0.01.S_none.k_15.d_0.t_Pos	escherichia_coli.k32	0.01	12_sbwt_query	none	15	0	Pos	0.61	0.02	0.58	99%	35472	0	0	0.617456
escherichia_coli.k32.r_0.01.S_none.k_15.d_1.t_0	escherichia_coli.k32	0.01	12_sbwt_query	none	15	1	0	0.84	0.01	0.82	99%	33096	0	0	0.850985
escherichia_coli.k32.r_0.01.S_none.k_15.d_1.t_Neg	escherichia_coli.k32	0.01	12_sbwt_query	none	15	1	Neg	0.85	0.04	0.78	97%	33096	94976	0	0.863569
escherichia_coli.k32.r_0.01.S_none.k_15.d_1.t_Pos	escherichia_coli.k32	0.01	12_sbwt_query	none	15	1	Pos	1.00	0.03	0.95	98%	33096	95488	0	1.013147
escherichia_coli.k32.r_0.01.S_none.k_15.d_2.t_0	escherichia_coli.k32	0.01	12_sbwt_query	none	15	2	0	2.77	0.03	2.73	99%	34996	0	0	2.780528
escherichia_coli.k32.r_0.01.S_none.k_15.d_2.t_Neg	escherichia_coli.k32	0.01	12_sbwt_query	none	15	2	Neg	2.59	0.02	2.57	99%	34996	0	0	2.601363
escherichia_coli.k32.r_0.01.S_none.k_15.d_2.t_Pos	escherichia_coli.k32	0.01	12_sbwt_query	none	15	2	Pos	4.35	0.01	4.32	99%	35100	0	0	4.355411
escherichia_coli.k32.r_0.01.S_none.k_17.d_0.t_0	escherichia_coli.k32	0.01	12_sbwt_query	none	17	0	0	0.54	0.02	0.51	99%	39100	0	0	0.54904
escherichia_coli.k32.r_0.01.S_none.k_17.d_0.t_Neg	escherichia_coli.k32	0.01	12_sbwt_query	none	17	0	Neg	0.51	0.01	0.49	99%	39100	0	0	0.518939
escherichia_coli.k32.r_0.01.S_none.k_17.d_0.t_Pos	escherichia_coli.k32	0.01	12_sbwt_query	none	17	0	Pos	0.74	0.01	0.73	99%	39100	0	0	0.753088
escherichia_coli.k32.r_0.01.S_none.k_17.d_1.t_0	escherichia_coli.k32	0.01	12_sbwt_query	none	17	1	0	0.91	0.01	0.89	99%	34944	0	0	0.917191
escherichia_coli.k32.r_0.01.S_none.k_17.d_1.t_Neg	escherichia_coli.k32	0.01	12_sbwt_query	none	17	1	Neg	0.97	0.04	0.91	98%	34944	99824	0	0.980129
escherichia_coli.k32.r_0.01.S_none.k_17.d_1.t_Pos	escherichia_coli.k32	0.01	12_sbwt_query	none	17	1	Pos	1.18	0.06	1.10	97%	34944	103304	0	1.194945
escherichia_coli.k32.r_0.01.S_none.k_17.d_2.t_0	escherichia_coli.k32	0.01	12_sbwt_query	none	17	2	0	3.03	0.03	2.99	99%	37564	0	0	3.03773
escherichia_coli.k32.r_0.01.S_none.k_17.d_2.t_Neg	escherichia_coli.k32	0.01	12_sbwt_query	none	17	2	Neg	2.92	0.04	2.87	99%	37788	0	0	2.924298
