genome	rate	I_alg	S_alg	k	d	kmer_count	num_queries	index_bytes	pref
escherichia_coli.k32	0.01	FMSIv02	global	15	na	975841	1000000	1656925	FMSIv02.escherichia_coli.k32.S_global.k_15.d_na
escherichia_coli.k32	0.01	fmsi	global	15	na	975841	1000000	1871099	fmsi.escherichia_coli.k32.S_global.k_15.d_na
escherichia_coli.k32	0.01	FMSIv02	local	15	1	975841	1000000	4356214	FMSIv02.escherichia_coli.k32.S_local.k_15.d_1
escherichia_coli.k32	0.01	FMSIv02	local	15	2	975841	1000000	4201238	FMSIv02.escherichia_coli.k32.S_local.k_15.d_2
escherichia_coli.k32	0.01	FMSIv02	local	15	3	975841	1000000	3805053	FMSIv02.escherichia_coli.k32.S_local.k_15.d_3
escherichia_coli.k32	0.01	FMSIv02	local	15	4	975841	1000000	3080605	FMSIv02.escherichia_coli.k32.S_local.k_15.d_4
escherichia_coli.k32	0.01	FMSIv02	local	15	5	975841	1000000	2348053	FMSIv02.escherichia_coli.k32.S_local.k_15.d_5
escherichia_coli.k32	0.01	fmsi	local	15	1	975841	1000000	5093195	fmsi.escherichia_coli.k32.S_local.k_15.d_1
escherichia_coli.k32	0.01	fmsi	local	15	2	975841	1000000	4901307	fmsi.escherichia_coli.k32.S_local.k_15.d_2
escherichia_coli.k32	0.01	fmsi	local	15	3	975841	1000000	4418371	fmsi.escherichia_coli.k32.S_local.k_15.d_3
escherichia_coli.k32	0.01	fmsi	local	15	4	975841	1000000	3551587	fmsi.escherichia_coli.k32.S_local.k_15.d_4
escherichia_coli.k32	0.01	fmsi	local	15	5	975841	1000000	2678979	fmsi.escherichia_coli.k32.S_local.k_15.d_5
escherichia_coli.k32	0.01	cbl	none	15	na	975841	1000000	7455787	cbl.escherichia_coli.k32.S_none.k_15.d_na
escherichia_coli.k32	0.01	sbwt	none	15	0	975841	1000000	6416280	sbwt.escherichia_coli.k32.S_none.k_15.d_0
escherichia_coli.k32	0.01	sbwt	none	15	1	975841	1000000	3933720	sbwt.escherichia_coli.k32.S_none.k_15.d_1
escherichia_coli.k32	0.01	sbwt	none	15	2	975841	1000000	5771130	sbwt.escherichia_coli.k32.S_none.k_15.d_2
escherichia_coli.k32	0.01	bwa	prophasm	15	na	975841	1000000	54055527	bwa.escherichia_coli.k32.S_prophasm.k_15.d_na
escherichia_coli.k32	0.01	SSHash	prophasm	15	na	975841	1000000	7429284	sshash.escherichia_coli.k32.S_prophasm.k_15.d_na
