pref	genome	rate	prog	S_alg	k	d	qType	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.r_0.01.S_prophasm.k_15.d_na.t_index	escherichia_coli.k32	0.01	26_sshash	prophasm	15	na	index	0.31	0.07	0.25	102%	55768	0	48392	0.32313
escherichia_coli.k32.r_0.01.S_prophasm.k_17.d_na.t_index	escherichia_coli.k32	0.01	26_sshash	prophasm	17	na	index	0.44	0.11	0.35	107%	86292	0	66672	0.44875
escherichia_coli.k32.r_0.01.S_prophasm.k_19.d_na.t_index	escherichia_coli.k32	0.01	26_sshash	prophasm	19	na	index	0.55	0.13	0.52	118%	98284	0	81064	0.564658
escherichia_coli.k32.r_0.01.S_prophasm.k_21.d_na.t_index	escherichia_coli.k32	0.01	26_sshash	prophasm	21	na	index	0.67	0.25	0.66	135%	112512	0	100040	0.681107
escherichia_coli.k32.r_0.01.S_prophasm.k_23.d_na.t_index	escherichia_coli.k32	0.01	26_sshash	prophasm	23	na	index	0.86	0.29	0.98	148%	126644	0	118208	0.869939
escherichia_coli.k32.r_0.01.S_prophasm.k_31.d_na.t_index	escherichia_coli.k32	0.01	26_sshash	prophasm	31	na	index	1.08	0.32	1.32	151%	151988	0	151568	1.087294
escherichia_coli.k32.r_0.1.S_prophasm.k_15.d_na.t_index	escherichia_coli.k32	0.1	26_sshash	prophasm	15	na	index	2.74	0.60	2.28	105%	425936	0	419480	2.753442
escherichia_coli.k32.r_0.1.S_prophasm.k_17.d_na.t_index	escherichia_coli.k32	0.1	26_sshash	prophasm	17	na	index	3.82	0.81	3.06	101%	572388	0	574392	3.833245
escherichia_coli.k32.r_0.1.S_prophasm.k_19.d_na.t_index	escherichia_coli.k32	0.1	26_sshash	prophasm	19	na	index	4.17	0.85	3.46	103%	631396	0	643496	4.178205
escherichia_coli.k32.r_0.1.S_prophasm.k_21.d_na.t_index	escherichia_coli.k32	0.1	26_sshash	prophasm	21	na	index	5.18	1.33	4.32	109%	708500	88	727912	5.186435
escherichia_coli.k32.r_0.1.S_prophasm.k_23.d_na.t_index	escherichia_coli.k32	0.1	26_sshash	prophasm	23	na	index	6.39	1.39	5.97	115%	766524	8	864840	6.402865
escherichia_coli.k32.r_0.1.S_prophasm.k_31.d_na.t_index	escherichia_coli.k32	0.1	26_sshash	prophasm	31	na	index	10.22	2.10	11.67	134%	1023128	0	1299040	10.230011
