pref	genome	rate	prog	S_alg	k	d	qType	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.r_0.01.S_prophasm.k_15.d_na.t_index	escherichia_coli.k32	0.01	15_bwa	prophasm	15	na	index	6.17	0.20	5.88	98%	150180	0	190112	6.175568
escherichia_coli.k32.r_0.01.S_prophasm.k_17.d_na.t_index	escherichia_coli.k32	0.01	15_bwa	prophasm	17	na	index	10.41	0.30	9.98	98%	216800	0	258896	10.416377
escherichia_coli.k32.r_0.01.S_prophasm.k_19.d_na.t_index	escherichia_coli.k32	0.01	15_bwa	prophasm	19	na	index	12.34	0.30	11.89	98%	278500	0	290712	12.344676
escherichia_coli.k32.r_0.01.S_prophasm.k_21.d_na.t_index	escherichia_coli.k32	0.01	15_bwa	prophasm	21	na	index	15.63	0.25	15.24	99%	155724	0	318288	15.63857
escherichia_coli.k32.r_0.01.S_prophasm.k_23.d_na.t_index	escherichia_coli.k32	0.01	15_bwa	prophasm	23	na	index	18.95	0.32	18.48	99%	162980	0	345920	18.960939
escherichia_coli.k32.r_0.01.S_prophasm.k_31.d_na.t_index	escherichia_coli.k32	0.01	15_bwa	prophasm	31	na	index	38.33	0.40	37.72	99%	191348	0	462656	38.339927
escherichia_coli.k32.r_0.1.S_prophasm.k_15.d_na.t_index	escherichia_coli.k32	0.1	15_bwa	prophasm	15	na	index	101.80	1.95	99.14	99%	898864	0	1695040	101.811847
escherichia_coli.k32.r_0.1.S_prophasm.k_17.d_na.t_index	escherichia_coli.k32	0.1	15_bwa	prophasm	17	na	index	162.41	2.47	158.93	99%	1219428	0	2418000	162.41946
escherichia_coli.k32.r_0.1.S_prophasm.k_19.d_na.t_index	escherichia_coli.k32	0.1	15_bwa	prophasm	19	na	index	198.64	3.10	194.46	99%	1319220	0	2730104	198.64627
escherichia_coli.k32.r_0.1.S_prophasm.k_21.d_na.t_index	escherichia_coli.k32	0.1	15_bwa	prophasm	21	na	index	232.71	3.75	227.76	99%	1388688	0	2986216	232.71527
escherichia_coli.k32.r_0.1.S_prophasm.k_23.d_na.t_index	escherichia_coli.k32	0.1	15_bwa	prophasm	23	na	index	264.21	3.74	259.19	99%	1453588	0	3240744	264.218709
escherichia_coli.k32.r_0.1.S_prophasm.k_31.d_na.t_index	escherichia_coli.k32	0.1	15_bwa	prophasm	31	na	index	428.49	6.06	420.60	99%	1705984	0	4317464	428.49576
escherichia_coli.k32.r_1.0.S_prophasm.k_15.d_na.t_index	escherichia_coli.k32	1.0	15_bwa	prophasm	15	na	index	177.95	1.83	175.25	99%	911404	0	2133136	177.961481
escherichia_coli.k32.r_1.0.S_prophasm.k_17.d_na.t_index	escherichia_coli.k32	1.0	15_bwa	prophasm	17	na	index	156.10	1.27	154.09	99%	493816	0	1502144	156.107702
escherichia_coli.k32.r_1.0.S_prophasm.k_19.d_na.t_index	escherichia_coli.k32	1.0	15_bwa	prophasm	19	na	index	139.25	1.09	137.60	99%	354304	0	1290288	139.256885
escherichia_coli.k32.r_1.0.S_prophasm.k_21.d_na.t_index	escherichia_coli.k32	1.0	15_bwa	prophasm	21	na	index	138.49	1.06	136.93	99%	317380	0	1254936	138.498931
escherichia_coli.k32.r_1.0.S_prophasm.k_23.d_na.t_index	escherichia_coli.k32	1.0	15_bwa	prophasm	23	na	index	145.67	1.19	143.88	99%	332488	0	1333456	145.675879
escherichia_coli.k32.r_1.0.S_prophasm.k_31.d_na.t_index	escherichia_coli.k32	1.0	15_bwa	prophasm	31	na	index	173.40	1.21	171.55	99%	334464	0	1489280	173.41347
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_15.d_na.t_index	sars-cov-2_pangenome_k32	0.01	15_bwa	prophasm	15	na	index	0.20	0.00	0.19	97%	10768	24	9016	0.211119
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_17.d_na.t_index	sars-cov-2_pangenome_k32	0.01	15_bwa	prophasm	17	na	index	0.29	0.00	0.28	96%	13140	16	11224	0.300228
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_19.d_na.t_index	sars-cov-2_pangenome_k32	0.01	15_bwa	prophasm	19	na	index	0.34	0.01	0.32	97%	15464	24	13488	0.351389
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_21.d_na.t_index	sars-cov-2_pangenome_k32	0.01	15_bwa	prophasm	21	na	index	0.44	0.02	0.42	98%	18336	0	15984	0.452447
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_23.d_na.t_index	sars-cov-2_pangenome_k32	0.01	15_bwa	prophasm	23	na	index	0.50	0.00	0.48	98%	21324	0	18632	0.505135
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_31.d_na.t_index	sars-cov-2_pangenome_k32	0.01	15_bwa	prophasm	31	na	index	0.96	0.04	0.90	98%	43020	0	31160	0.96708
