genome	rate	I_alg	S_alg	k	d	kmer_count	num_queries	index_bytes	pref	Q_time_s	Q_mem_kb	qType	SI_time_s	SI_mem_kb
escherichia_coli.k32	0.01	bwa	prophasm	15	na	975841	1000000	54055527	bwa.escherichia_coli.k32.S_prophasm.k_15.d_na	3.5399999999999996	120572	0	8.49	150180
escherichia_coli.k32	0.01	bwa	prophasm	15	na	975841	1000000	54055527	bwa.escherichia_coli.k32.S_prophasm.k_15.d_na	3.3	120572	Neg	8.49	150180
escherichia_coli.k32	0.01	bwa	prophasm	15	na	975841	1000000	54055527	bwa.escherichia_coli.k32.S_prophasm.k_15.d_na	5.3999999999999995	120572	Pos	8.49	150180
escherichia_coli.k32	0.01	cbl	none	15	na	975841	1000000	7455787	cbl.escherichia_coli.k32.S_none.k_15.d_na	0.5700000000000001	52220	0	0.77	52284
escherichia_coli.k32	0.01	cbl	none	15	na	975841	1000000	7455787	cbl.escherichia_coli.k32.S_none.k_15.d_na	0.54	52220	Neg	0.77	52284
escherichia_coli.k32	0.01	cbl	none	15	na	975841	1000000	7455787	cbl.escherichia_coli.k32.S_none.k_15.d_na	0.67	52220	Pos	0.77	52284
escherichia_coli.k32	0.01	fmsi	global	15	na	975841	1000000	1871099	fmsi.escherichia_coli.k32.S_global.k_15.d_na	22.12	5628	0	6.050000000000001	94180
escherichia_coli.k32	0.01	fmsi	global	15	na	975841	1000000	1871099	fmsi.escherichia_coli.k32.S_global.k_15.d_na	21.47	5444	Neg	6.050000000000001	94180
escherichia_coli.k32	0.01	fmsi	global	15	na	975841	1000000	1871099	fmsi.escherichia_coli.k32.S_global.k_15.d_na	25.25	5444	Pos	6.050000000000001	94180
escherichia_coli.k32	0.01	fmsi	local	15	1	975841	1000000	5093195	fmsi.escherichia_coli.k32.S_local.k_15.d_1	23.27	8536	0	10.629999999999999	277252
escherichia_coli.k32	0.01	fmsi	local	15	1	975841	1000000	5093195	fmsi.escherichia_coli.k32.S_local.k_15.d_1	22.419999999999998	8536	Neg	10.629999999999999	277252
escherichia_coli.k32	0.01	fmsi	local	15	1	975841	1000000	5093195	fmsi.escherichia_coli.k32.S_local.k_15.d_1	25.680000000000003	8536	Pos	10.629999999999999	277252
escherichia_coli.k32	0.01	fmsi	local	15	2	975841	1000000	4901307	fmsi.escherichia_coli.k32.S_local.k_15.d_2	23.18	8268	0	11.44	267016
escherichia_coli.k32	0.01	fmsi	local	15	2	975841	1000000	4901307	fmsi.escherichia_coli.k32.S_local.k_15.d_2	23.57	8372	Neg	11.44	267016
escherichia_coli.k32	0.01	fmsi	local	15	2	975841	1000000	4901307	fmsi.escherichia_coli.k32.S_local.k_15.d_2	25.76	8268	Pos	11.44	267016
escherichia_coli.k32	0.01	fmsi	local	15	3	975841	1000000	4418371	fmsi.escherichia_coli.k32.S_local.k_15.d_3	22.93	7740	0	14.69	238876
escherichia_coli.k32	0.01	fmsi	local	15	3	975841	1000000	4418371	fmsi.escherichia_coli.k32.S_local.k_15.d_3	22.19	7740	Neg	14.69	238876
escherichia_coli.k32	0.01	fmsi	local	15	3	975841	1000000	4418371	fmsi.escherichia_coli.k32.S_local.k_15.d_3	25.380000000000003	7740	Pos	14.69	238876
escherichia_coli.k32	0.01	fmsi	local	15	4	975841	1000000	3551587	fmsi.escherichia_coli.k32.S_local.k_15.d_4	22.48	6956	0	25.06	189620
escherichia_coli.k32	0.01	fmsi	local	15	4	975841	1000000	3551587	fmsi.escherichia_coli.k32.S_local.k_15.d_4	22.619999999999997	6956	Neg	25.06	189620
escherichia_coli.k32	0.01	fmsi	local	15	4	975841	1000000	3551587	fmsi.escherichia_coli.k32.S_local.k_15.d_4	25.09	6956	Pos	25.06	189620
escherichia_coli.k32	0.01	fmsi	local	15	5	975841	1000000	2678979	fmsi.escherichia_coli.k32.S_local.k_15.d_5	22.43	6368	0	50.51	138680
escherichia_coli.k32	0.01	fmsi	local	15	5	975841	1000000	2678979	fmsi.escherichia_coli.k32.S_local.k_15.d_5	21.76	6368	Neg	50.51	138680
escherichia_coli.k32	0.01	fmsi	local	15	5	975841	1000000	2678979	fmsi.escherichia_coli.k32.S_local.k_15.d_5	25.27	6232	Pos	50.51	138680
escherichia_coli.k32	0.01	sbwt	none	15	0	975841	1000000	7679216	sbwt.escherichia_coli.k32.S_none.k_15.d_0	0.68	36664	0	32.96	619560
