pref	genome	rate	prog	S_alg	k	d	qType	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.r_0.01.S_prophasm.k_15.d_na.t_superstring	escherichia_coli.k32	0.01	06_prophasm	prophasm	15	na	superstring	2.53	0.04	2.37	95%	64816	0	46624	2.538457
escherichia_coli.k32.r_0.01.S_prophasm.k_17.d_na.t_superstring	escherichia_coli.k32	0.01	06_prophasm	prophasm	17	na	superstring	3.63	0.07	3.47	97%	73256	0	65024	3.639187
escherichia_coli.k32.r_0.01.S_prophasm.k_19.d_na.t_superstring	escherichia_coli.k32	0.01	06_prophasm	prophasm	19	na	superstring	3.95	0.09	3.75	97%	75640	0	74568	3.954192
escherichia_coli.k32.r_0.01.S_prophasm.k_21.d_na.t_superstring	escherichia_coli.k32	0.01	06_prophasm	prophasm	21	na	superstring	4.54	0.11	4.18	94%	77488	0	83176	4.551785
escherichia_coli.k32.r_0.01.S_prophasm.k_23.d_na.t_superstring	escherichia_coli.k32	0.01	06_prophasm	prophasm	23	na	superstring	4.55	0.12	4.23	95%	79072	0	91920	4.562958
escherichia_coli.k32.r_0.01.S_prophasm.k_31.d_na.t_superstring	escherichia_coli.k32	0.01	06_prophasm	prophasm	31	na	superstring	5.85	0.14	5.34	93%	96780	0	129640	5.856619
escherichia_coli.k32.r_0.1.S_prophasm.k_15.d_na.t_superstring	escherichia_coli.k32	0.1	06_prophasm	prophasm	15	na	superstring	28.86	0.41	28.27	99%	422756	0	417704	28.87057
escherichia_coli.k32.r_0.1.S_prophasm.k_17.d_na.t_superstring	escherichia_coli.k32	0.1	06_prophasm	prophasm	17	na	superstring	37.81	0.61	37.03	99%	669052	0	607536	37.82444
escherichia_coli.k32.r_0.1.S_prophasm.k_19.d_na.t_superstring	escherichia_coli.k32	0.1	06_prophasm	prophasm	19	na	superstring	40.80	0.79	39.78	99%	669052	0	699896	40.813339
escherichia_coli.k32.r_0.1.S_prophasm.k_21.d_na.t_superstring	escherichia_coli.k32	0.1	06_prophasm	prophasm	21	na	superstring	43.97	0.87	42.16	97%	669020	0	779480	43.97618
escherichia_coli.k32.r_0.1.S_prophasm.k_23.d_na.t_superstring	escherichia_coli.k32	0.1	06_prophasm	prophasm	23	na	superstring	46.89	0.85	45.43	98%	669052	0	859808	46.89893
escherichia_coli.k32.r_0.1.S_prophasm.k_31.d_na.t_superstring	escherichia_coli.k32	0.1	06_prophasm	prophasm	31	na	superstring	59.23	1.41	54.94	95%	722568	0	1206528	59.23929
escherichia_coli.k32.r_1.0.S_prophasm.k_15.d_na.t_superstring	escherichia_coli.k32	1.0	06_prophasm	prophasm	15	na	superstring	219.43	2.46	216.76	99%	3865552	0	577504	219.436246
escherichia_coli.k32.r_1.0.S_prophasm.k_17.d_na.t_superstring	escherichia_coli.k32	1.0	06_prophasm	prophasm	17	na	superstring	234.88	2.71	232.02	99%	5577272	0	449704	234.890141
escherichia_coli.k32.r_1.0.S_prophasm.k_19.d_na.t_superstring	escherichia_coli.k32	1.0	06_prophasm	prophasm	19	na	superstring	237.90	3.09	234.49	99%	5767780	0	406464	237.912951
escherichia_coli.k32.r_1.0.S_prophasm.k_21.d_na.t_superstring	escherichia_coli.k32	1.0	06_prophasm	prophasm	21	na	superstring	239.95	2.79	236.85	99%	5943424	0	403920	239.961727
escherichia_coli.k32.r_1.0.S_prophasm.k_23.d_na.t_superstring	escherichia_coli.k32	1.0	06_prophasm	prophasm	23	na	superstring	242.88	3.11	239.53	99%	6104196	0	429840	242.885287
escherichia_coli.k32.r_1.0.S_prophasm.k_31.d_na.t_superstring	escherichia_coli.k32	1.0	06_prophasm	prophasm	31	na	superstring	258.65	2.87	255.42	99%	6704988	0	492160	258.661549
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_15.d_na.t_superstring	sars-cov-2_pangenome_k32	0.01	06_prophasm	prophasm	15	na	superstring	0.09	0.02	0.05	90%	25104	0	2216	0.094577
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_17.d_na.t_superstring	sars-cov-2_pangenome_k32	0.01	06_prophasm	prophasm	17	na	superstring	0.10	0.01	0.08	91%	25352	0	2824	0.111368
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_19.d_na.t_superstring	sars-cov-2_pangenome_k32	0.01	06_prophasm	prophasm	19	na	superstring	0.15	0.02	0.10	88%	25632	0	3472	0.158269
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_21.d_na.t_superstring	sars-cov-2_pangenome_k32	0.01	06_prophasm	prophasm	21	na	superstring	0.14	0.02	0.10	87%	25880	0	4176	0.151123
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_23.d_na.t_superstring	sars-cov-2_pangenome_k32	0.01	06_prophasm	prophasm	23	na	superstring	0.16	0.00	0.14	88%	26144	0	4944	0.168369
sars-cov-2_pangenome_k32.r_0.01.S_prophasm.k_31.d_na.t_superstring	sars-cov-2_pangenome_k32	0.01	06_prophasm	prophasm	31	na	superstring	0.26	0.01	0.21	89%	27932	0	8728	0.266112
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_15.d_na.t_superstring	sars-cov-2_pangenome_k32	0.1	06_prophasm	prophasm	15	na	superstring	0.90	0.04	0.79	92%	43608	0	20696	0.90901
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_17.d_na.t_superstring	sars-cov-2_pangenome_k32	0.1	06_prophasm	prophasm	17	na	superstring	1.15	0.03	1.04	93%	46248	0	26472	1.159301
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_19.d_na.t_superstring	sars-cov-2_pangenome_k32	0.1	06_prophasm	prophasm	19	na	superstring	1.49	0.06	1.34	94%	48624	0	32496	1.495125
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_21.d_na.t_superstring	sars-cov-2_pangenome_k32	0.1	06_prophasm	prophasm	21	na	superstring	1.86	0.05	1.69	94%	56876	0	39056	1.865703
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_23.d_na.t_superstring	sars-cov-2_pangenome_k32	0.1	06_prophasm	prophasm	23	na	superstring	1.95	0.07	1.75	93%	59252	0	46192	1.961882
sars-cov-2_pangenome_k32.r_0.1.S_prophasm.k_31.d_na.t_superstring	sars-cov-2_pangenome_k32	0.1	06_prophasm	prophasm	31	na	superstring	3.11	0.08	2.88	95%	69548	0	80920	3.116855
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_15.d_na.t_superstring	sars-cov-2_pangenome_k32	0.2	06_prophasm	prophasm	15	na	superstring	2.34	0.05	2.22	97%	64528	0	36808	2.347293
sars-cov-2_pangenome_k32.r_0.2.S_prophasm.k_17.d_na.t_superstring	sars-cov-2_pangenome_k32	0.2	06_prophasm	prophasm	17	na	superstring	3.61	0.10	3.43	98%	69792	0	47184	3.616113
