genome	rate	I_alg	S_alg	k	d	kmer_count	num_queries	index_bytes	pref
escherichia_coli.k32	0.01	fmsi	global	15	na	975841	1000000	1871099	fmsi.escherichia_coli.k32.S_global.k_15.d_na
escherichia_coli.k32	0.01	fmsi	local	15	1	975841	1000000	5093195	fmsi.escherichia_coli.k32.S_local.k_15.d_1
escherichia_coli.k32	0.01	fmsi	local	15	2	975841	1000000	4901307	fmsi.escherichia_coli.k32.S_local.k_15.d_2
escherichia_coli.k32	0.01	fmsi	local	15	3	975841	1000000	4418371	fmsi.escherichia_coli.k32.S_local.k_15.d_3
escherichia_coli.k32	0.01	fmsi	local	15	4	975841	1000000	3551587	fmsi.escherichia_coli.k32.S_local.k_15.d_4
escherichia_coli.k32	0.01	fmsi	local	15	5	975841	1000000	2678979	fmsi.escherichia_coli.k32.S_local.k_15.d_5
escherichia_coli.k32	0.01	cbl	none	15	na	975841	1000000	7455787	cbl.escherichia_coli.k32.S_none.k_15.d_na
escherichia_coli.k32	0.01	sbwt	none	15	0	975841	1000000	7679216	sbwt.escherichia_coli.k32.S_none.k_15.d_0
escherichia_coli.k32	0.01	sbwt	none	15	1	975841	1000000	4612528	sbwt.escherichia_coli.k32.S_none.k_15.d_1
escherichia_coli.k32	0.01	bwa	prophasm	15	na	975841	1000000	54055527	bwa.escherichia_coli.k32.S_prophasm.k_15.d_na
escherichia_coli.k32	0.01	fmsi	global	17	na	1241932	1000000	3054531	fmsi.escherichia_coli.k32.S_global.k_17.d_na
escherichia_coli.k32	0.01	fmsi	local	17	1	1241932	1000000	7160115	fmsi.escherichia_coli.k32.S_local.k_17.d_1
escherichia_coli.k32	0.01	fmsi	local	17	2	1241932	1000000	7071835	fmsi.escherichia_coli.k32.S_local.k_17.d_2
escherichia_coli.k32	0.01	fmsi	local	17	3	1241932	1000000	6926363	fmsi.escherichia_coli.k32.S_local.k_17.d_3
escherichia_coli.k32	0.01	fmsi	local	17	4	1241932	1000000	6609563	fmsi.escherichia_coli.k32.S_local.k_17.d_4
escherichia_coli.k32	0.01	fmsi	local	17	5	1241932	1000000	5927475	fmsi.escherichia_coli.k32.S_local.k_17.d_5
escherichia_coli.k32	0.01	cbl	none	17	na	1241932	1000000	8806465	cbl.escherichia_coli.k32.S_none.k_17.d_na
escherichia_coli.k32	0.01	sbwt	none	17	0	1241932	1000000	12349072	sbwt.escherichia_coli.k32.S_none.k_17.d_0
escherichia_coli.k32	0.01	sbwt	none	17	1	1241932	1000000	7017968	sbwt.escherichia_coli.k32.S_none.k_17.d_1
escherichia_coli.k32	0.01	bwa	prophasm	17	na	1241932	1000000	74097868	bwa.escherichia_coli.k32.S_prophasm.k_17.d_na
escherichia_coli.k32	0.01	fmsi	global	19	na	1323083	1000000	4030451	fmsi.escherichia_coli.k32.S_global.k_19.d_na
escherichia_coli.k32	0.01	fmsi	local	19	1	1323083	1000000	8421195	fmsi.escherichia_coli.k32.S_local.k_19.d_1
escherichia_coli.k32	0.01	fmsi	local	19	2	1323083	1000000	8343747	fmsi.escherichia_coli.k32.S_local.k_19.d_2
escherichia_coli.k32	0.01	fmsi	local	19	3	1323083	1000000	8261411	fmsi.escherichia_coli.k32.S_local.k_19.d_3
escherichia_coli.k32	0.01	fmsi	local	19	4	1323083	1000000	8161355	fmsi.escherichia_coli.k32.S_local.k_19.d_4
escherichia_coli.k32	0.01	fmsi	local	19	5	1323083	1000000	7996875	fmsi.escherichia_coli.k32.S_local.k_19.d_5
escherichia_coli.k32	0.01	cbl	none	19	na	1323083	1000000	10406951	cbl.escherichia_coli.k32.S_none.k_19.d_na
escherichia_coli.k32	0.01	sbwt	none	19	0	1323083	1000000	16410864	sbwt.escherichia_coli.k32.S_none.k_19.d_0
escherichia_coli.k32	0.01	sbwt	none	19	1	1323083	1000000	9078720	sbwt.escherichia_coli.k32.S_none.k_19.d_1
escherichia_coli.k32	0.01	bwa	prophasm	19	na	1323083	1000000	83748809	bwa.escherichia_coli.k32.S_prophasm.k_19.d_na
escherichia_coli.k32	0.01	fmsi	global	21	na	1379290	1000000	4991915	fmsi.escherichia_coli.k32.S_global.k_21.d_na
escherichia_coli.k32	0.01	fmsi	local	21	1	1379290	1000000	9627211	fmsi.escherichia_coli.k32.S_local.k_21.d_1
escherichia_coli.k32	0.01	fmsi	local	21	2	1379290	1000000	9536659	fmsi.escherichia_coli.k32.S_local.k_21.d_2
escherichia_coli.k32	0.01	fmsi	local	21	3	1379290	1000000	9453203	fmsi.escherichia_coli.k32.S_local.k_21.d_3
escherichia_coli.k32	0.01	fmsi	local	21	4	1379290	1000000	9370411	fmsi.escherichia_coli.k32.S_local.k_21.d_4
escherichia_coli.k32	0.01	fmsi	local	21	5	1379290	1000000	9282971	fmsi.escherichia_coli.k32.S_local.k_21.d_5
escherichia_coli.k32	0.01	cbl	none	21	na	1379290	1000000	10562010	cbl.escherichia_coli.k32.S_none.k_21.d_na
escherichia_coli.k32	0.01	sbwt	none	21	0	1379290	1000000	20570944	sbwt.escherichia_coli.k32.S_none.k_21.d_0
escherichia_coli.k32	0.01	sbwt	none	21	1	1379290	1000000	11182864	sbwt.escherichia_coli.k32.S_none.k_21.d_1
escherichia_coli.k32	0.01	bwa	prophasm	21	na	1379290	1000000	92230990	bwa.escherichia_coli.k32.S_prophasm.k_21.d_na
escherichia_coli.k32	0.01	fmsi	global	23	na	1430736	1000000	5978163	fmsi.escherichia_coli.k32.S_global.k_23.d_na
escherichia_coli.k32	0.01	fmsi	local	23	1	1430736	1000000	10865163	fmsi.escherichia_coli.k32.S_local.k_23.d_1
escherichia_coli.k32	0.01	fmsi	local	23	2	1430736	1000000	10764139	fmsi.escherichia_coli.k32.S_local.k_23.d_2
escherichia_coli.k32	0.01	fmsi	local	23	3	1430736	1000000	10667611	fmsi.escherichia_coli.k32.S_local.k_23.d_3
escherichia_coli.k32	0.01	fmsi	local	23	4	1430736	1000000	10574099	fmsi.escherichia_coli.k32.S_local.k_23.d_4
escherichia_coli.k32	0.01	fmsi	local	23	5	1430736	1000000	10483659	fmsi.escherichia_coli.k32.S_local.k_23.d_5
escherichia_coli.k32	0.01	cbl	none	23	na	1430736	1000000	12191691	cbl.escherichia_coli.k32.S_none.k_23.d_na
escherichia_coli.k32	0.01	sbwt	none	23	0	1430736	1000000	24945824	sbwt.escherichia_coli.k32.S_none.k_23.d_0
escherichia_coli.k32	0.01	sbwt	none	23	1	1430736	1000000	13389208	sbwt.escherichia_coli.k32.S_none.k_23.d_1
escherichia_coli.k32	0.01	bwa	prophasm	23	na	1430736	1000000	100763590	bwa.escherichia_coli.k32.S_prophasm.k_23.d_na
escherichia_coli.k32	0.01	fmsi	global	31	na	1622989	1000000	10102451	fmsi.escherichia_coli.k32.S_global.k_31.d_na
escherichia_coli.k32	0.01	fmsi	local	31	1	1622989	1000000	16295355	fmsi.escherichia_coli.k32.S_local.k_31.d_1
escherichia_coli.k32	0.01	fmsi	local	31	2	1622989	1000000	16141491	fmsi.escherichia_coli.k32.S_local.k_31.d_2
