dataset1,dataset2,k,operation,indexing time 1(s),indexing time 2(s),merge time(s),normalization time(s),set 1 query memory(kB),set 2 query memory(kB),merge query memory(kB),normalization query memory(kB),ms 1 length,ms 2 length,result ms length,ms 1 runs,ms 2 runs,result ms runs,ms 1 ones,ms 2 ones,result ms ones,kmers1,kmers2,kmersRes
C.briggsae.fna,C.elegans.fna,17,union,0.31,0.37,111.87,550.19,31200,30996,58196,57896,88240876,87829787,171061774,2246872,2291659,5675904,81922521,81674345,156110809,81922521,81674345,156110809
C.briggsae.fna,C.elegans.fna,17,difference,0.35,0.37,111.86,547.63,31200,30996,58196,58640,88240876,87829787,168459626,2246872,2291659,8236423,81922521,81674345,148624752,81922521,81674345,148624752
C.briggsae.fna,C.elegans.fna,17,intersection,0.33,0.3,112.88,171.31,31200,30996,58196,10308,88240876,87829787,17507467,2246872,2291659,2866135,81922521,81674345,7486057,81922521,81674345,7486057
C.briggsae.fna,C.elegans.fna,19,union,0.37,0.32,110.56,610.57,31068,30756,57868,58188,92219937,91940244,182995130,958859,917983,2405760,88613752,88851754,175042363,88613752,88851754,175042363
C.briggsae.fna,C.elegans.fna,19,difference,0.33,0.29,111.77,614.36,31068,30756,57868,58792,92219937,91940244,182437239,958859,917983,3251840,88613752,88851754,172619220,88613752,88851754,172619220
C.briggsae.fna,C.elegans.fna,19,intersection,0.35,0.36,111.44,149.39,31068,30756,57868,6356,92219937,91940244,7070507,958859,917983,915790,88613752,88851754,2423143,88613752,88851754,2423143
C.briggsae.fna,C.elegans.fna,21,union,0.36,0.33,108.44,635.95,31076,30552,57672,57908,93853486,93207041,186673642,521543,416485,1125881,91137316,91222416,181472842,91137316,91222416,181472842
C.briggsae.fna,C.elegans.fna,21,difference,0.32,0.34,108.13,634.46,31076,30552,57672,58172,93853486,93207041,186497300,521543,416485,1378480,91137316,91222416,180585952,91137316,91222416,180585952
C.briggsae.fna,C.elegans.fna,21,intersection,0.34,0.36,108.51,139.69,31076,30552,57672,4768,93853486,93207041,2858154,521543,416485,269160,91137316,91222416,886890,91137316,91222416,886890
C.briggsae.fna,C.elegans.fna,31,union,0.33,0.35,108.45,698.5,31528,30808,58376,58376,97029648,95381939,192343323,176765,123238,312350,95189333,94006897,189072323,95189333,94006897,189072323
C.briggsae.fna,C.elegans.fna,31,difference,0.36,0.33,109.44,697.77,31528,30808,58376,58432,97029648,95381939,192322038,176765,123238,325142,95189333,94006897,188948416,95189333,94006897,188948416
C.briggsae.fna,C.elegans.fna,31,intersection,0.32,0.35,109.07,132.6,31528,30808,58376,4284,97029648,95381939,424627,176765,123238,13587,95189333,94006897,123907,95189333,94006897,123907
